"","median","lci","uci","Geweke.p","Heidelberger.p"
"r.Lamberts.Bay",-0.0797,-0.2619,0.1023,0.642,0.327
"r.Malgas.Island",0.0242,-0.1656,0.2011,0.507,0.445
"r.Marcus.Island",-0.1423,-0.3181,0.0489,0.032,0.121
"r.Jutten.Island",0.0196,-0.1572,0.2105,0.559,0.207
"r.Vondeling.Island",0.0781,-0.0969,0.2661,0.182,0.218
"r.Dassen.Island",0.0612,-0.1259,0.235,0.33,0.564
"r.Robben.Island",0.0849,-0.1027,0.2634,0.291,0.825
"r.Simonstown",0.1483,-0.0396,0.3264,0.175,0.215
"r.Seal.Island.False.Bay",0.1021,-0.1015,0.2905,0.421,0.656
"r.Stony.Point",0.2225,0.0395,0.4046,0.203,0.338
"r.Dyer.Island",0.0549,-0.1211,0.2427,0.035,0.175
"r.Geyser.Island",-0.1049,-0.2862,0.0779,0.872,0.186
"r.De.Hoop",0.1413,-0.0435,0.3249,0.863,0.874
"r.Jahleel.Island",0.0135,-0.1709,0.1975,0.613,0.532
"r.Brenton.Island",-0.0928,-0.274,0.0908,0.534,0.904
"r.St.Croix.Island",0.0106,-0.1716,0.1985,0.795,0.032
"r.Seal.Island.Algoa.Bay",0.0373,-0.1393,0.2219,0.145,0.81
"r.Stag.Island",-0.0801,-0.2525,0.1168,0.903,0.635
"r.Bird.Island",0.0925,-0.0873,0.2748,0.787,0.572
"r.Mercury",-0.2269,-0.4068,-0.044,0.304,0.059
"r.Ichaboe",-0.0754,-0.2625,0.1037,0.2,0.061
"r.Halifax",0.114,-0.0664,0.296,0.138,0.399
"r.Possession",0.1006,-0.0852,0.2787,0.218,0.92
"r.Pomona",0.0374,-0.145,0.2147,0.691,0.221
"r.Plumpudding",0.174,-0.0033,0.3605,0.626,0.782
"r.Sinclair",0.0574,-0.1325,0.2287,0.042,0.051
"sigma.proc",0.4857,0.455,0.5214,0.907,0.911
