"assessment","scenario","name","yr","Type","estimation","mu","lci","uci","lpp","upp"
"Afr_penguin",1,"global",1994,"census","fit",45374.5811555961,33039.0273901461,60383.0434441315,NA,NA
"Afr_penguin",1,"global",1995,"census","fit",44399.8655848222,30965.8603788595,63430.7193662634,NA,NA
"Afr_penguin",1,"global",1996,"census","fit",41684.3851408159,28262.2725184837,61369.6977533521,NA,NA
"Afr_penguin",1,"global",1997,"census","fit",39936.4863143134,26804.6856687015,57094.8635677757,NA,NA
"Afr_penguin",1,"global",1998,"census","fit",41794.0098282853,29965.6157396385,56263.892556837,NA,NA
"Afr_penguin",1,"global",1999,"census","fit",48263.3691005311,42189.6655585665,54758.9260987148,NA,NA
"Afr_penguin",1,"global",2000,"census","fit",52942.0846434103,46180.8677768759,59763.2693055281,NA,NA
"Afr_penguin",1,"global",2001,"census","fit",60926.1649732439,52727.3579050888,68935.3719512582,NA,NA
"Afr_penguin",1,"global",2002,"census","fit",57918.0433791422,47762.7529586041,69763.6932365633,NA,NA
"Afr_penguin",1,"global",2003,"census","fit",48487.9106679359,41880.1376972188,55325.8257429358,NA,NA
"Afr_penguin",1,"global",2004,"census","fit",54085.7624986729,46485.1651957732,62148.8098288833,NA,NA
"Afr_penguin",1,"global",2005,"census","fit",47001.964998926,40282.5408041553,54002.2908562284,NA,NA
"Afr_penguin",1,"global",2006,"census","fit",38203.942082463,33534.3246863041,43196.9824304444,NA,NA
"Afr_penguin",1,"global",2007,"census","fit",30925.7363111868,26986.4887020605,34747.0787478625,NA,NA
"Afr_penguin",1,"global",2008,"census","fit",29252.6477139772,26099.4803355348,32482.4104140952,NA,NA
"Afr_penguin",1,"global",2009,"census","fit",25852.3936885089,22985.5528300424,28761.649051028,NA,NA
"Afr_penguin",1,"global",2010,"census","fit",26629.6617204134,21143.9410139569,32898.5925731271,NA,NA
"Afr_penguin",1,"global",2011,"census","fit",25544.0863820412,22538.1638005627,28462.5635040273,NA,NA
"Afr_penguin",1,"global",2012,"census","fit",24194.3844051395,21631.4474615921,26757.054816191,NA,NA
"Afr_penguin",1,"global",2013,"census","fit",24303.9692006089,21557.1048546185,26974.2991960475,NA,NA
"Afr_penguin",1,"global",2014,"census","fit",24502.9334320815,21763.0441240344,27463.6940609583,NA,NA
"Afr_penguin",1,"global",2015,"census","fit",24748.4395336998,22281.9406226092,27525.1884245073,NA,NA
"Afr_penguin",1,"global",2016,"census","fit",22836.2773316239,20551.2770547634,25449.0390569361,NA,NA
"Afr_penguin",1,"global",2017,"census","fit",21691.3252333291,19516.4443334363,24022.8501201283,NA,NA
"Afr_penguin",1,"global",2018,"census","fit",20202.9470890641,17484.5218910609,23322.5942882167,NA,NA
"Afr_penguin",1,"global",2019,"census","fit",17354.7022028389,15765.3150198127,19165.9120626067,NA,NA
"Afr_penguin",1,"global",2020,"census","fit",14350.8368598888,12159.2477357717,16909.5039020601,NA,NA
"Afr_penguin",1,"global",2021,"census","fit",11980.6462711192,10842.0825833126,13145.3750851756,NA,NA
"Afr_penguin",1,"global",2022,"census","fit",11288.2332161701,10179.7547502055,12428.6028768928,NA,NA
"Afr_penguin",1,"global",2023,"census","fit",9870.90516512747,8864.55869551709,10941.00834249,NA,NA
"Afr_penguin",1,"global",2024,"census","prj",9424.28212294415,8366.21972731555,10596.3833700735,NA,NA
"Afr_penguin",1,"global",2025,"census","prj",9030.76542372293,7834.38664488947,10241.3964907447,NA,NA
"Afr_penguin",1,"Lamberts.Bay",1994,"census","fit",16.8411277864715,12.4333283895158,21.8613027788444,10.6479639360761,24.8323393078033
"Afr_penguin",1,"Lamberts.Bay",1995,"census","fit",24.6167961547457,17.8737309673992,31.7469003161389,15.5156877453572,36.30639203191
"Afr_penguin",1,"Lamberts.Bay",1996,"census","fit",20.6376079279354,15.1443177070353,26.8083032483214,12.48095394912,29.9059091467083
"Afr_penguin",1,"Lamberts.Bay",1997,"census","fit",22.8650355022773,17.0420998465747,29.934372881432,14.3240568712159,33.3984115925093
"Afr_penguin",1,"Lamberts.Bay",1998,"census","fit",24.7773420078551,18.0981072283657,32.2115824797877,15.0067522083527,35.8776959315451
"Afr_penguin",1,"Lamberts.Bay",1999,"census","fit",11.6904882571745,8.75078768743682,15.4094248164826,7.11122489558199,17.0191376060364
"Afr_penguin",1,"Lamberts.Bay",2000,"census","fit",10.0693429595233,7.2877378840058,13.1335865874164,6.18981944280255,14.8033714510567
"Afr_penguin",1,"Lamberts.Bay",2001,"census","fit",9.14319889827246,6.78483644200966,11.9236017927466,5.53708624439128,13.1732362598952
