"assessment","scenario","name","year","obs","obs.err","hat","lci","uci","lpp","upp","residual","retro.peels"
"Afr_penguin",10,"Lamberts.Bay",2003,18,0.156802268499353,18.5500557118701,13.4764542356716,24.1685498115725,11.085539525025,27.0118891860192,-0.0301010344880841,0
"Afr_penguin",10,"Lamberts.Bay",2004,22,0.156802268499353,20.4771966355295,14.7219656616773,26.8251115935089,12.4309169560564,30.2640197060474,0.0717305455871315,0
"Afr_penguin",10,"Lamberts.Bay",2005,10,0.156802268499353,10.3512872253785,7.40898984172302,13.7189800653752,6.25066123220929,15.3834345428416,-0.0345257885858663,0
"Afr_penguin",10,"Lamberts.Bay",2023,0.1,0.156802268499353,0.0995851726467571,0.0721345336782811,0.134257344183429,0.0608657392000221,0.148842680895488,0.00415690148809267,0
"Afr_penguin",10,"Malgas.Island",2003,43,0.156802268499353,42.0237567334021,30.7635979895612,54.9769546242012,24.8746620298325,61.1475164606288,0.0229650208126531,0
"Afr_penguin",10,"Malgas.Island",2004,28,0.156802268499353,28.5779566642547,21.0355009012949,37.3647460480219,17.9687660880897,42.553826339208,-0.0204311644681106,0
"Afr_penguin",10,"Malgas.Island",2005,26,0.156802268499353,24.5541665981939,18.0805695891836,32.5712644284394,15.1384998731514,36.1702723993994,0.0572149793142027,0
"Afr_penguin",10,"Malgas.Island",2006,11,0.156802268499353,11.4539406859427,8.37953603488132,14.9551580672903,7.14472397096258,16.9771296733402,-0.0404385627019423,0
"Afr_penguin",10,"Malgas.Island",2007,8,0.156802268499353,8.47186774241271,6.20740082037967,11.1311886361796,4.92810180169224,12.3151679402874,-0.0573094553563278,0
"Afr_penguin",10,"Malgas.Island",2008,12,0.156802268499353,12.0947890018185,8.84083377417251,15.833144105124,7.66713151999805,17.9140314090842,-0.00786804904687477,0
"Afr_penguin",10,"Malgas.Island",2009,20,0.156802268499353,19.1652796605619,14.0841574656448,24.9794943261431,11.9449474478901,28.3226390727657,0.0426319825732095,0
