"","median","lci","uci","Geweke.p","Heidelberger.p"
"r.Lamberts.Bay",-0.0873,-0.2902,0.094,0.956,0.233
"r.Malgas.Island",0.0406,-0.1512,0.2252,0.161,0.729
"r.Marcus.Island",-0.1291,-0.3085,0.0721,0.652,0.661
"r.Jutten.Island",0.0132,-0.1761,0.2043,0.877,0.496
"r.Vondeling.Island",0.0593,-0.1312,0.2475,0.905,0.87
"r.Dassen.Island",0.0646,-0.1168,0.2638,0.53,0.168
"r.Robben.Island",0.0709,-0.1154,0.2593,0.572,0.314
"r.Simonstown",0.1307,-0.0536,0.3252,0.095,0.527
"r.Seal.Island.False.Bay",0.0943,-0.1134,0.3037,0.032,0.108
"r.Stony.Point",0.2342,0.0442,0.4323,0.062,0.056
"r.Dyer.Island",0.0804,-0.1184,0.2609,0.785,0.513
"r.Geyser.Island",-0.026,-0.2226,0.1605,0.67,0.671
"r.De.Hoop",0.1735,-0.0171,0.362,0.792,0.874
"r.Jahleel.Island",0.0109,-0.1778,0.2013,0.48,0.54
"r.Brenton.Island",-0.0984,-0.2899,0.0896,0.433,0.443
"r.St.Croix.Island",0.006,-0.1914,0.1985,0.711,0.999
"r.Seal.Island.Algoa.Bay",0.0338,-0.1562,0.2262,0.395,0.235
"r.Stag.Island",-0.0934,-0.2832,0.1,0.348,0.258
"r.Bird.Island",0.1219,-0.0671,0.3142,0.669,0.737
"r.Mercury",-0.2573,-0.4472,-0.0628,0.781,0.822
"r.Ichaboe",-0.0643,-0.2559,0.127,0.697,0.54
"r.Halifax",0.1319,-0.0605,0.3225,0.014,0.199
"r.Possession",0.1112,-0.0883,0.2966,0.946,0.644
"r.Pomona",0.0328,-0.1628,0.2228,0.068,0.315
"r.Plumpudding",0.1733,-0.0223,0.3657,0.78,0.649
"r.Sinclair",0.0856,-0.1105,0.2755,0.433,0.651
"sigma.proc",0.4918,0.4626,0.5258,0.502,0.713
