"assessment","scenario","name","yr","Type","estimation","mu","lci","uci","lpp","upp"
"Afr_penguin","E_Cape","global",1979,"census","fit",15117.8475823803,10090.1424286479,20603.2614603078,NA,NA
"Afr_penguin","E_Cape","global",1980,"census","fit",16006.0955710289,10305.7092812637,21992.1636034388,NA,NA
"Afr_penguin","E_Cape","global",1981,"census","fit",16858.4321260964,5479.59180694427,32254.424183306,NA,NA
"Afr_penguin","E_Cape","global",1982,"census","fit",17838.4220324364,4196.05424086447,37754.3033178211,NA,NA
"Afr_penguin","E_Cape","global",1983,"census","fit",18792.3112120546,4471.75120793783,39271.8234832872,NA,NA
"Afr_penguin","E_Cape","global",1984,"census","fit",20061.653362688,5862.50719978738,37779.4687133738,NA,NA
"Afr_penguin","E_Cape","global",1985,"census","fit",21199.0699112959,13170.5425972702,30011.3194642912,NA,NA
"Afr_penguin","E_Cape","global",1986,"census","fit",21630.3530564781,5788.07578671145,42309.5702796483,NA,NA
"Afr_penguin","E_Cape","global",1987,"census","fit",21989.6672593898,3912.45709796106,47245.0413755375,NA,NA
"Afr_penguin","E_Cape","global",1988,"census","fit",22611.4746091872,4457.29336827077,52690.8739687937,NA,NA
"Afr_penguin","E_Cape","global",1989,"census","fit",23033.5606163042,4475.95828118284,52865.3789282755,NA,NA
"Afr_penguin","E_Cape","global",1990,"census","fit",23692.261658093,6235.45481433899,52002.8511598329,NA,NA
"Afr_penguin","E_Cape","global",1991,"census","fit",23513.8454075789,6759.30061439868,49767.8962247642,NA,NA
"Afr_penguin","E_Cape","global",1992,"census","fit",23885.1953197862,8759.80634307447,43965.5998236892,NA,NA
"Afr_penguin","E_Cape","global",1993,"census","fit",22775.2351088562,14812.2223605347,31354.4418924061,NA,NA
"Afr_penguin","E_Cape","global",1994,"census","fit",22233.713569753,7768.99570475317,40732.9384273679,NA,NA
"Afr_penguin","E_Cape","global",1995,"census","fit",21740.1599123725,6918.57606499641,43889.3289392207,NA,NA
"Afr_penguin","E_Cape","global",1996,"census","fit",20118.9823639651,5026.87809318461,42480.7180022038,NA,NA
"Afr_penguin","E_Cape","global",1997,"census","fit",18568.1439597538,5149.62701562963,38464.7490103762,NA,NA
"Afr_penguin","E_Cape","global",1998,"census","fit",18466.4533409713,6457.39213444679,33945.3031962982,NA,NA
"Afr_penguin","E_Cape","global",1999,"census","fit",18731.2819666725,13192.1791410027,24567.4269917085,NA,NA
"Afr_penguin","E_Cape","global",2000,"census","fit",20240.5048008675,14511.2815515638,26109.526147413,NA,NA
"Afr_penguin","E_Cape","global",2001,"census","fit",21582.8498351459,15260.1411077843,28113.8796399416,NA,NA
"Afr_penguin","E_Cape","global",2002,"census","fit",16756.8041924835,8803.93393050165,26609.0614377991,NA,NA
"Afr_penguin","E_Cape","global",2003,"census","fit",11407.6599015592,7822.06403944925,15246.1313319972,NA,NA
"Afr_penguin","E_Cape","global",2004,"census","fit",12502.9744389029,8907.04135310046,16075.0876713307,NA,NA
"Afr_penguin","E_Cape","global",2005,"census","fit",8687.50604538242,6429.59757402226,10915.9890532669,NA,NA
"Afr_penguin","E_Cape","global",2006,"census","fit",10249.4513799391,7414.80158166979,13123.4201553852,NA,NA
"Afr_penguin","E_Cape","global",2007,"census","fit",6916.98464458762,4971.94168819126,9177.93043267171,NA,NA
"Afr_penguin","E_Cape","global",2008,"census","fit",9958.69710703356,7111.11341422994,12706.8665852311,NA,NA
"Afr_penguin","E_Cape","global",2009,"census","fit",9842.89595035173,7199.46114251061,12823.1797154602,NA,NA
"Afr_penguin","E_Cape","global",2010,"census","fit",10401.875173397,5274.71871422964,16563.8058196779,NA,NA
"Afr_penguin","E_Cape","global",2011,"census","fit",10933.7533433805,7925.85861417961,14380.0896551604,NA,NA
"Afr_penguin","E_Cape","global",2012,"census","fit",10038.9824331499,7458.38727234941,12986.9950011126,NA,NA
"Afr_penguin","E_Cape","global",2013,"census","fit",10553.8263856628,7732.03306455884,13686.2205486369,NA,NA
"Afr_penguin","E_Cape","global",2014,"census","fit",11459.8335020453,8334.90007847216,14867.666750131,NA,NA
"Afr_penguin","E_Cape","global",2015,"census","fit",10699.6958437424,7899.35361081763,13741.9455088671,NA,NA
"Afr_penguin","E_Cape","global",2016,"census","fit",9267.53346000075,6810.19394656225,11877.9064286727,NA,NA
"Afr_penguin","E_Cape","global",2017,"census","fit",8727.03627072386,6356.96114175791,11084.4427886791,NA,NA
"Afr_penguin","E_Cape","global",2018,"census","fit",7937.92957952184,5766.85086811601,10049.1290530629,NA,NA
"Afr_penguin","E_Cape","global",2019,"census","fit",5962.34710982828,4444.13983356506,7524.55153630509,NA,NA
"Afr_penguin","E_Cape","global",2020,"census","fit",3918.20766539869,2370.82660751076,5684.92825055112,NA,NA
"Afr_penguin","E_Cape","global",2021,"census","fit",3487.65551306964,2646.49240569343,4464.14893544283,NA,NA
"Afr_penguin","E_Cape","global",2022,"census","fit",2845.70283298472,2114.8036886458,3584.10910454665,NA,NA
"Afr_penguin","E_Cape","global",2023,"census","fit",2536.81518745229,1857.03496635752,3359.43609703997,NA,NA
"Afr_penguin","E_Cape","global",2024,"census","prj",2285.03042988413,1584.09374367048,3115.24667982718,NA,NA
"Afr_penguin","E_Cape","Jahleel.Island",1979,"census","fit",613.160629742294,202.944757673126,1217.51824298502,162.973297908033,1350.36935121605
"Afr_penguin","E_Cape","Jahleel.Island",1980,"census","fit",595.733495721973,203.493246687538,1253.5277692685,144.132838819562,1328.52708265438
"Afr_penguin","E_Cape","Jahleel.Island",1981,"census","fit",582.284609786196,354.510159972308,849.323921825073,262.011460521879,993.403512875795
"Afr_penguin","E_Cape","Jahleel.Island",1982,"census","fit",578.431378759564,145.440736286262,1343.47199756676,128.261385165947,1435.90981543562
"Afr_penguin","E_Cape","Jahleel.Island",1983,"census","fit",573.210218016803,95.6286012050118,1729.54588536974,60.6302345845623,1815.92180961525
"Afr_penguin","E_Cape","Jahleel.Island",1984,"census","fit",568.252901652697,62.2892769318599,1985.23923354243,33.7810787608863,2094.09708072175
"Afr_penguin","E_Cape","Jahleel.Island",1985,"census","fit",564.900894760021,42.1690776378615,2203.75927290878,37.6939403276737,2293.57673232843
"Afr_penguin","E_Cape","Jahleel.Island",1986,"census","fit",556.754374209211,29.4985842392585,2324.09541743093,35.3804522993121,2460.82222157264
"Afr_penguin","E_Cape","Jahleel.Island",1987,"census","fit",551.523236327889,21.8487977651146,2295.38710127265,25.5765731578168,2451.62852611032
"Afr_penguin","E_Cape","Jahleel.Island",1988,"census","fit",555.017481008603,33.416639809768,2305.42242285987,34.9889179019199,2393.08212151081
"Afr_penguin","E_Cape","Jahleel.Island",1989,"census","fit",552.422519083489,39.3535945050768,2151.91223425269,38.8241910151282,2248.53453738531
"Afr_penguin","E_Cape","Jahleel.Island",1990,"census","fit",548.778840554334,55.8316291622133,1919.58924832413,29.8836100574699,2019.21942621285
"Afr_penguin","E_Cape","Jahleel.Island",1991,"census","fit",549.874933267409,74.9491429023037,1649.5697385922,60.0495732466667,1728.381887991
"Afr_penguin","E_Cape","Jahleel.Island",1992,"census","fit",547.463027252705,145.300975585898,1282.69739102324,100.454364678515,1351.76705332592
"Afr_penguin","E_Cape","Jahleel.Island",1993,"census","fit",541.53924992101,325.200173570181,792.961679451132,251.615182491997,938.871165888752
"Afr_penguin","E_Cape","Jahleel.Island",1994,"census","fit",516.77760438652,160.089158349835,1127.73172023402,128.055530252255,1199.27454645608
"Afr_penguin","E_Cape","Jahleel.Island",1995,"census","fit",494.097964875925,104.627605937504,1169.74830896669,105.448398189926,1261.91966981153
