"pop.change","r.All.yrs","r.1GL","r.2GL","r.3GL"
-76.8854846818556,-0.0583824087946461,-0.0604396747743179,-0.0893606520315329,-0.0550385410894147
-83.1510656394551,-0.0590609378786038,-0.0812303273839516,-0.0812303273839516,-0.0590609378786038
-78.473633420028,-0.0227435368254261,-0.0906825541033101,-0.0704509130875044,-0.0227431432054788
-78.7226010016424,-0.060417450128786,-0.0962735357544924,-0.0744284891750793,-0.0631913413445915
-76.1950071610855,-0.0481884056068997,-0.0746158232629117,-0.0913334735118241,-0.0708002744990077
-77.9522256698791,-0.0953766288597908,-0.0978883315965717,-0.0978883315965717,-0.0738578089214759
-74.6846018523105,-0.00779018535032616,-0.0926695040284997,-0.0926695040284997,-0.0151613899413885
-83.314993384193,-0.0262259692072115,-0.0907792568763002,-0.078205089363407,-0.0569882314725616
-79.0535552324919,-0.0420059646634217,-0.0963810752001537,-0.0688303059939761,-0.0449214621483183
-75.0982655143333,-0.0540457262557039,-0.0705892163455051,-0.0851338741349572,-0.0540457262557039
-76.3033228024944,-0.0734987204237285,-0.0864415266407672,-0.0866157994896888,-0.0750746518841989
-73.8201729546281,-0.0466901294127569,-0.0575088624854949,-0.0575088624854949,-0.0466901294127569
-78.7835360450926,-0.0702002077480097,-0.0832169134443808,-0.0871223680970274,-0.0832169134443808
-85.0084213260331,-0.0595760084924022,-0.0781792840435305,-0.0804485231333905,-0.0710654444192915
-83.0637917541841,-0.05777229768744,-0.0891787753875999,-0.0819972573047663,-0.056351640544098
-70.6304798824088,-0.0547373087579688,-0.0963175713103146,-0.0963175713103146,-0.0555629810880243
-79.9592363235004,-0.0379229101254248,-0.0387286041744375,-0.0591321393168087,-0.0416142377775444
-81.3559741861109,-0.0569506672350277,-0.0867275689856069,-0.0799710476611395,-0.0685769723081737
-81.9255654311002,-0.0664539587078696,-0.108148651713693,-0.121385448784113,-0.0664539587078696
-79.1169541185561,-0.0703062453251944,-0.0743226042373939,-0.0852978949905516,-0.0716570789001256
-80.1099313053619,-0.068613770356361,-0.090990909369002,-0.090990909369002,-0.0566870258931091
-78.9955405220354,-0.0752647524246157,-0.0763488012338138,-0.0894412251447214,-0.0763488012338138
-76.7975707666019,-0.0552390252328161,-0.0738354728912691,-0.0738354728912691,-0.060588050339577
-78.0518016637232,-0.0407210042538448,-0.0612840952290075,-0.0594556411904481,-0.0408091233797148
-79.4591594473134,-0.0448122919940399,-0.0722225363884474,-0.0634701696628017,-0.0419197451940265
-80.1327363741878,-0.0553698577847621,-0.0734847540199635,-0.0734847540199635,-0.0622938055686966
-76.8833500862845,-0.0288806761183391,-0.0938618298680973,-0.0677930608406445,-0.0563030714864015
-78.1222196663509,-0.058141517200248,-0.0467822747796749,-0.0707152381730038,-0.0707152381730038
-79.8861031677906,-0.0672317242737401,-0.1080726642442,-0.103263448454427,-0.0844450490609168
-73.8748837531143,-0.0618159665473268,-0.102113724619549,-0.0911680493847831,-0.0513818429342532
-67.9890185976336,-0.0240778669837676,-0.0587948053932754,-0.0910824863805448,-0.0203182774229296
-81.4688411735817,-0.0506550264488501,-0.115372906595906,-0.0733298833654583,-0.0627249692665197
-79.7370325492205,-0.0290380304997946,-0.105035464655238,-0.0940681701234043,-0.0635849499900916
-82.143666046519,-0.0382117659062722,-0.105258454328653,-0.068821471650562,-0.047566900811348
-82.1917688472112,-0.0480513065992456,-0.116112459053459,-0.11213748609749,-0.101063768813973
-76.4380078264629,-0.0725513282873713,-0.128951822232937,-0.123018251709914,-0.0519908551348527
-74.7741235941865,-0.0352187291153774,-0.0869316695270168,-0.0515204236853686,-0.0262697047427052
-77.4167250698208,-0.0427689375813332,-0.109424490596443,-0.0968001969240202,-0.0433931682611988
-76.9016116969872,-0.0541102000770248,-0.107818401786544,-0.0714026916693262,-0.0369719839280354
-78.1117093955676,-0.0497883439581326,-0.0554765407443112,-0.0626952041883984,-0.0422627395365867
-75.8879296629122,-0.0687799079188212,-0.0917663597036036,-0.106846536459824,-0.0698792177963234
-83.836368627401,-0.0481219178940293,-0.0481219178940293,-0.0640546092779957,-0.0481219178940293
-81.3111014546872,-0.0605465963362866,-0.109242737930122,-0.11243341870849,-0.0964743207835843
-79.6010548671447,-0.0700900388002763,-0.0586420496129012,-0.0700900388002763,-0.0700900388002763
-81.6721358637921,-0.0152399094386668,-0.0555109183684639,-0.0531656706038985,-0.03387498559111
-77.8475706339783,-0.0490499454887843,-0.0743420123077296,-0.0585631548884065,-0.0577355925275249
-79.2967120782442,-0.0537574785508728,-0.0881164671387813,-0.0661692373094134,-0.0537574785508728
-81.7465056995401,-0.063183535598613,-0.0870065521222072,-0.0972239482541815,-0.0817477133313442
-74.9924155291383,-0.0535300219720849,-0.100595496498939,-0.0802696572036341,-0.0502688678710701
-80.6297468782315,-0.0736128283236122,-0.130096748161991,-0.100388119951132,-0.0762999020844655
-76.9663664202491,-0.0558398611924034,-0.0512776625833578,-0.0558398611924034,-0.0500078460172091
-74.0958947779251,-0.051536701008831,-0.0801779885290044,-0.070774933256267,-0.0408668076541971
-72.905940896443,-0.0641559062369188,-0.0970339378721787,-0.0976687325905621,-0.0641559062369188
-74.0681335572089,-0.0523377690568072,-0.106162415581617,-0.0880763561829729,-0.0678726437526098
-68.7803806863441,-0.0621032829712886,-0.0803558487275176,-0.0803558487275176,-0.0669459283081792
-79.6247169866155,-0.031237377499413,-0.0690765950578989,-0.0690765950578989,-0.0577752307442303
-75.7260637302514,-0.0979361903384399,-0.0958953909275087,-0.104256889212213,-0.0915788437122851
-77.829717062951,-0.0347763581601361,-0.0688442601000556,-0.0890355395576981,-0.0609622868725737
-77.2729375140444,-0.0638484215704329,-0.121785960749486,-0.116517182787272,-0.0477436275757954
-73.2447230099985,-0.0503917349310106,-0.0730807321311904,-0.0730807321311904,-0.0593448542733421
-75.6314994824372,-0.0295840386210999,-0.0252922033902285,-0.0508786436633963,-0.0375650300056467
-77.7332419286775,-0.0741079873415744,-0.0940708784037634,-0.0940708784037634,-0.0881727814318634
-80.5433160726243,-0.0577982320967934,-0.0355385549541385,-0.0604989498712154,-0.0355385549541385
-72.0658886970751,-0.00829397680656196,-0.0256199096555116,-0.0338776419335858,-0.005976794577359
