"assessment","scenario","name","yr","Type","estimation","mu","lci","uci","lpp","upp"
"Afr_penguin","Global","global",1979,"census","fit",64983.1196305215,55699.9534374279,74025.6050187546,NA,NA
"Afr_penguin","Global","global",1980,"census","fit",62313.9121899839,40392.8043901356,88584.2614520069,NA,NA
"Afr_penguin","Global","global",1981,"census","fit",60275.9725534808,30006.7474228009,96544.7050060298,NA,NA
"Afr_penguin","Global","global",1982,"census","fit",58311.6848653585,25836.18875308,97270.5267942404,NA,NA
"Afr_penguin","Global","global",1983,"census","fit",56217.8696751229,24879.3109804056,95661.6252535838,NA,NA
"Afr_penguin","Global","global",1984,"census","fit",54815.0163060656,27311.5718733746,88507.0834298033,NA,NA
"Afr_penguin","Global","global",1985,"census","fit",54140.6298979188,35595.4018907302,76899.4012876753,NA,NA
"Afr_penguin","Global","global",1986,"census","fit",51118.5671846795,32350.3769203473,72855.0851481623,NA,NA
"Afr_penguin","Global","global",1987,"census","fit",49378.7180536284,26036.2892787747,79650.8050025065,NA,NA
"Afr_penguin","Global","global",1988,"census","fit",50286.5498237681,25795.4512761652,83081.005403621,NA,NA
"Afr_penguin","Global","global",1989,"census","fit",51792.1789251728,28719.6204830311,83920.8570966202,NA,NA
"Afr_penguin","Global","global",1990,"census","fit",51418.3583959003,30135.7171040901,81221.0417709277,NA,NA
"Afr_penguin","Global","global",1991,"census","fit",50047.2683542636,31721.230156558,77347.3778183887,NA,NA
"Afr_penguin","Global","global",1992,"census","fit",49849.4559071053,34846.3565754485,70539.3737418284,NA,NA
"Afr_penguin","Global","global",1993,"census","fit",44315.8338888711,38044.3587419222,50978.3716552081,NA,NA
"Afr_penguin","Global","global",1994,"census","fit",47231.3243020503,32323.3630374388,66636.8999028094,NA,NA
"Afr_penguin","Global","global",1995,"census","fit",46730.5853310719,30780.8701973014,69818.4803964037,NA,NA
"Afr_penguin","Global","global",1996,"census","fit",43590.3219084243,27540.859201758,65391.6955986382,NA,NA
"Afr_penguin","Global","global",1997,"census","fit",40980.3458424444,26899.3240971494,61234.5814680464,NA,NA
"Afr_penguin","Global","global",1998,"census","fit",42296.4277924872,29689.4255819341,57714.9037156296,NA,NA
"Afr_penguin","Global","global",1999,"census","fit",48358.4385637209,42238.7302015896,54713.3426186913,NA,NA
"Afr_penguin","Global","global",2000,"census","fit",52962.1315661695,45983.8356223461,59835.9627990347,NA,NA
"Afr_penguin","Global","global",2001,"census","fit",61086.5155092443,53148.2364423743,69545.2981668449,NA,NA
"Afr_penguin","Global","global",2002,"census","fit",58107.9595111453,47470.609483274,69958.4016735964,NA,NA
"Afr_penguin","Global","global",2003,"census","fit",48356.449521663,41624.3953751181,55113.3802867046,NA,NA
"Afr_penguin","Global","global",2004,"census","fit",54222.3539456953,46588.9626762044,62171.925387139,NA,NA
"Afr_penguin","Global","global",2005,"census","fit",46969.0729295628,40315.3150739353,53740.0308318373,NA,NA
"Afr_penguin","Global","global",2006,"census","fit",38258.6686825966,33613.1923639095,43504.2765817151,NA,NA
"Afr_penguin","Global","global",2007,"census","fit",30840.457100046,26960.6604986706,34791.7266546172,NA,NA
"Afr_penguin","Global","global",2008,"census","fit",29271.2427416584,26097.4817687751,32571.4185853383,NA,NA
"Afr_penguin","Global","global",2009,"census","fit",25811.8565167033,23197.2676566517,28851.6554543518,NA,NA
"Afr_penguin","Global","global",2010,"census","fit",26637.2677053279,20947.336124963,33230.2162501134,NA,NA
"Afr_penguin","Global","global",2011,"census","fit",25566.4047596263,22675.260528881,28589.2571396462,NA,NA
"Afr_penguin","Global","global",2012,"census","fit",24224.0156711342,21593.5273191521,26758.234229595,NA,NA
"Afr_penguin","Global","global",2013,"census","fit",24267.9660805352,21551.1005356732,26935.3775445501,NA,NA
"Afr_penguin","Global","global",2014,"census","fit",24536.2208052826,21685.7160923365,27334.1012775777,NA,NA
"Afr_penguin","Global","global",2015,"census","fit",24757.3004398374,22125.9910628441,27451.2987975395,NA,NA
"Afr_penguin","Global","global",2016,"census","fit",22853.0002906577,20413.6304543398,25318.9255910764,NA,NA
"Afr_penguin","Global","global",2017,"census","fit",21686.416506365,19475.6660935072,23990.9277955917,NA,NA
"Afr_penguin","Global","global",2018,"census","fit",20196.8220397409,17246.0546419582,23304.0492756065,NA,NA
"Afr_penguin","Global","global",2019,"census","fit",17368.367434592,15769.8805460845,19092.2187448419,NA,NA
"Afr_penguin","Global","global",2020,"census","fit",14388.0105815711,12044.4081380993,16872.6837396646,NA,NA
"Afr_penguin","Global","global",2021,"census","fit",11982.339529588,10831.311459477,13124.1209424039,NA,NA
"Afr_penguin","Global","global",2022,"census","fit",11304.9960269147,10216.2831714308,12424.3710985146,NA,NA
"Afr_penguin","Global","global",2023,"census","fit",9910.07013769835,8891.97351919554,10985.7417222078,NA,NA
"Afr_penguin","Global","global",2024,"census","prj",9529.25746243323,8393.60014076839,10661.6807870685,NA,NA
"Afr_penguin","Global","Lamberts.Bay",1979,"census","fit",50.1960308352366,36.3348712212636,65.7127756043473,31.4788297963782,74.0679372416856
"Afr_penguin","Global","Lamberts.Bay",1980,"census","fit",45.1343610165267,12.7431525478924,102.364361929952,11.4493422574927,106.634873913429
"Afr_penguin","Global","Lamberts.Bay",1981,"census","fit",40.5989137772804,6.24260678908647,115.684450909282,5.07389631674215,118.442856088109
"Afr_penguin","Global","Lamberts.Bay",1982,"census","fit",35.9793099880044,3.78621257142826,115.212777085286,3.83837833266759,118.069632144666
"Afr_penguin","Global","Lamberts.Bay",1983,"census","fit",32.5618586522911,2.97814182918569,104.672545099942,2.80571487841715,106.691996549843
"Afr_penguin","Global","Lamberts.Bay",1984,"census","fit",29.7213224176222,3.89125378752581,93.2300073110229,3.21721981876883,94.7329282518751
"Afr_penguin","Global","Lamberts.Bay",1985,"census","fit",26.5612425450611,3.74059330541307,74.4636354703893,3.90727280603972,77.1540779856707
"Afr_penguin","Global","Lamberts.Bay",1986,"census","fit",23.7482837408764,6.47800053079256,55.0369710384201,5.79725940689115,56.5060352941684
"Afr_penguin","Global","Lamberts.Bay",1987,"census","fit",21.3105750198687,15.3394040131483,27.9306189760353,13.2211128505161,31.3204088562641
"Afr_penguin","Global","Lamberts.Bay",1988,"census","fit",23.0584420934934,16.8752836949963,30.2242297715276,14.4189613483384,33.9633713245816
"Afr_penguin","Global","Lamberts.Bay",1989,"census","fit",26.0647401026754,10.3182978533831,49.2990385549136,8.91769826120903,51.0745585094131
"Afr_penguin","Global","Lamberts.Bay",1990,"census","fit",29.1900929116421,21.759806492147,38.5489723807896,17.950908077852,43.0937148964941
"Afr_penguin","Global","Lamberts.Bay",1991,"census","fit",24.7914036465924,18.4712458598791,32.2179682237706,15.5610589151305,35.9974017112964
"Afr_penguin","Global","Lamberts.Bay",1992,"census","fit",18.6967313804213,13.7788990406017,24.4575328361302,11.4626203378654,27.1600383930489
"Afr_penguin","Global","Lamberts.Bay",1993,"census","fit",21.2320615210553,15.9544535891934,27.9843731773986,13.6878469834524,31.0576471355099
"Afr_penguin","Global","Lamberts.Bay",1994,"census","fit",16.92815169575,12.2330742024938,21.8037513128432,10.9007055004475,25.0249067091746
"Afr_penguin","Global","Lamberts.Bay",1995,"census","fit",24.6218648470971,17.7355697684095,31.9494478553851,15.4613362526001,36.2553665636661
"Afr_penguin","Global","Lamberts.Bay",1996,"census","fit",20.5397530169197,15.3586233807075,26.9185103012835,13.1371181692352,30.4076666063354
"Afr_penguin","Global","Lamberts.Bay",1997,"census","fit",22.8915885460437,16.8940646080166,29.6675692931444,14.5141821770941,33.6123731686915
"Afr_penguin","Global","Lamberts.Bay",1998,"census","fit",24.9483748561869,18.5020589114165,32.5260384644086,15.6944270575823,36.5178376078125
"Afr_penguin","Global","Lamberts.Bay",1999,"census","fit",11.6887052789559,8.56579207954053,15.1690913114175,7.16464824681045,17.0379838397044
"Afr_penguin","Global","Lamberts.Bay",2000,"census","fit",10.0361760981626,7.41891911317155,13.1820125520604,6.32065069745222,14.7251616723922
