"","median","lci","uci","Geweke.p","Heidelberger.p"
"r.Lamberts.Bay",-0.0353,-0.1711,0.0987,0.675,0.961
"r.Malgas.Island",-0.0153,-0.1493,0.1215,0.714,0.915
"r.Marcus.Island",-0.1103,-0.2503,0.0219,0.895,0.539
"r.Jutten.Island",0.0168,-0.1209,0.1538,0.802,0.461
"r.Vondeling.Island",0.0592,-0.0796,0.1964,0.115,0.104
"r.Dassen.Island",0.0613,-0.0728,0.1957,0.896,0.729
"r.Robben.Island",0.3078,0.177,0.4459,0.432,0.535
"r.Simonstown",0.3109,0.1695,0.4442,0.721,0.468
"r.Seal.Island.False.Bay",0.089,-0.0553,0.2261,0.235,0.614
"r.Stony.Point",0.3167,0.173,0.4449,0.769,0.511
"r.Dyer.Island",0.0309,-0.0956,0.1736,0.856,0.723
"r.Geyser.Island",-0.0789,-0.2148,0.06,0.942,0.913
"r.De.Hoop",0.1861,0.0459,0.3166,0.293,0.755
"r.Jahleel.Island",0.0317,-0.1045,0.1676,0.947,0.278
"r.Brenton.Island",-0.0316,-0.1704,0.1009,0.459,0.123
"r.St.Croix.Island",0.0357,-0.1051,0.1643,0.094,0.19
"r.Seal.Island.Algoa.Bay",0.1101,-0.0275,0.2458,0.748,0.574
"r.Stag.Island",-0.0214,-0.1531,0.1209,0.66,0.859
"r.Bird.Island",0.1404,1e-04,0.2678,0.577,0.898
"sigma.proc",0.4567,0.429,0.483,0.449,0.881
