"assessment","scenario","name","yr","Type","estimation","mu","lci","uci","lpp","upp"
"Afr_penguin","S.Africa","global",1979,"census","fit",56458.5673724661,47512.733354976,65559.7712670803,NA,NA
"Afr_penguin","S.Africa","global",1980,"census","fit",54531.9149082133,34562.8833298228,78534.006115624,NA,NA
"Afr_penguin","S.Africa","global",1981,"census","fit",52695.6377697849,26625.7868587145,85427.7412523577,NA,NA
"Afr_penguin","S.Africa","global",1982,"census","fit",51294.0383413831,22912.9322485299,86230.0825867532,NA,NA
"Afr_penguin","S.Africa","global",1983,"census","fit",50135.7690617664,22410.9501127724,84302.8511754327,NA,NA
"Afr_penguin","S.Africa","global",1984,"census","fit",49631.1585075026,24614.2455307225,79133.9150865916,NA,NA
"Afr_penguin","S.Africa","global",1985,"census","fit",49248.6132550222,32547.8550413574,69435.4609144201,NA,NA
"Afr_penguin","S.Africa","global",1986,"census","fit",48042.3845185701,31017.069149325,67677.1853152207,NA,NA
"Afr_penguin","S.Africa","global",1987,"census","fit",44442.4070246715,21991.9835949473,70344.4634260118,NA,NA
"Afr_penguin","S.Africa","global",1988,"census","fit",43958.2067579037,21903.8545900046,73755.9570328015,NA,NA
"Afr_penguin","S.Africa","global",1989,"census","fit",44431.8516319497,22936.8445276187,73863.8410798617,NA,NA
"Afr_penguin","S.Africa","global",1990,"census","fit",44091.744855618,24722.5099285921,72013.8901088557,NA,NA
"Afr_penguin","S.Africa","global",1991,"census","fit",42589.7729177191,25789.1294094824,66645.093159101,NA,NA
"Afr_penguin","S.Africa","global",1992,"census","fit",42277.1057829229,27944.4337502817,60732.1053057064,NA,NA
"Afr_penguin","S.Africa","global",1993,"census","fit",36731.2330593706,30279.4785818817,43156.0123837643,NA,NA
"Afr_penguin","S.Africa","global",1994,"census","fit",40675.5308773588,26333.0950482368,57788.8976536497,NA,NA
"Afr_penguin","S.Africa","global",1995,"census","fit",39853.2813144743,24968.7754489322,60083.9400805585,NA,NA
"Afr_penguin","S.Africa","global",1996,"census","fit",37517.4230766732,23092.9530453515,58004.7629616847,NA,NA
