"assessment","scenario","name","yr","Type","estimation","mu","lci","uci","lpp","upp"
"Afr_penguin","S_Coast","global",1979,"census","fit",23185.4442035619,16303.3695917234,30208.2128235764,NA,NA
"Afr_penguin","S_Coast","global",1980,"census","fit",22673.1609812782,5798.01840619659,44448.972078531,NA,NA
"Afr_penguin","S_Coast","global",1981,"census","fit",21848.5019844795,3662.01767746797,48991.0826364679,NA,NA
"Afr_penguin","S_Coast","global",1982,"census","fit",21215.7110638354,2769.94241748735,50470.2499620012,NA,NA
"Afr_penguin","S_Coast","global",1983,"census","fit",20573.6558669586,2626.3933897881,47580.6014454776,NA,NA
"Afr_penguin","S_Coast","global",1984,"census","fit",19688.0717323629,3154.02179121578,44472.3018456486,NA,NA
"Afr_penguin","S_Coast","global",1985,"census","fit",19094.2540731339,5561.55567898527,38423.5334132958,NA,NA
"Afr_penguin","S_Coast","global",1986,"census","fit",18519.8334405618,12782.3826249442,24452.8384728268,NA,NA
"Afr_penguin","S_Coast","global",1987,"census","fit",15407.7678445729,4988.70398402345,29320.1112252264,NA,NA
"Afr_penguin","S_Coast","global",1988,"census","fit",12723.9297777724,3383.77242759618,25625.7739053803,NA,NA
"Afr_penguin","S_Coast","global",1989,"census","fit",10555.4651977166,3203.67025166501,19851.2921024748,NA,NA
"Afr_penguin","S_Coast","global",1990,"census","fit",8827.86983159766,6332.49930900562,11452.9259962662,NA,NA
"Afr_penguin","S_Coast","global",1991,"census","fit",6947.5198641677,5173.32776955495,8934.40725750277,NA,NA
"Afr_penguin","S_Coast","global",1992,"census","fit",7302.64641589721,5356.20519195478,9389.91406066123,NA,NA
"Afr_penguin","S_Coast","global",1993,"census","fit",3310.36502620794,2483.41117062315,4169.18756040884,NA,NA
"Afr_penguin","S_Coast","global",1994,"census","fit",4945.7373428912,3687.64385138579,6306.40292531063,NA,NA
"Afr_penguin","S_Coast","global",1995,"census","fit",4701.8422433606,3552.13289540208,6025.10762618748,NA,NA
"Afr_penguin","S_Coast","global",1996,"census","fit",3908.07107297095,2886.62206850238,4854.08165728253,NA,NA
"Afr_penguin","S_Coast","global",1997,"census","fit",3550.48414801312,2784.4843373228,4444.74529571551,NA,NA
"Afr_penguin","S_Coast","global",1998,"census","fit",2804.57358691001,2173.42761310656,3445.75092865537,NA,NA
"Afr_penguin","S_Coast","global",1999,"census","fit",3362.14349347231,2649.69752004688,4136.24068685433,NA,NA
"Afr_penguin","S_Coast","global",2000,"census","fit",3356.13262028611,2652.7927892102,4077.33014888361,NA,NA
"Afr_penguin","S_Coast","global",2001,"census","fit",3343.16697759274,2669.52870708706,4079.42491076593,NA,NA
"Afr_penguin","S_Coast","global",2002,"census","fit",3400.01711943595,2702.71248864089,4126.7297815941,NA,NA
"Afr_penguin","S_Coast","global",2003,"census","fit",3227.29621239969,2596.32132292805,3925.82905166313,NA,NA
"Afr_penguin","S_Coast","global",2004,"census","fit",3551.44259296814,2871.48567678814,4337.11663622341,NA,NA
"Afr_penguin","S_Coast","global",2005,"census","fit",3537.02153772436,2831.10331908987,4269.79692188949,NA,NA
"Afr_penguin","S_Coast","global",2006,"census","fit",3386.36651621096,2698.95253566456,4059.14723063372,NA,NA
"Afr_penguin","S_Coast","global",2007,"census","fit",2755.66085093448,2243.68162505031,3311.64147949263,NA,NA
"Afr_penguin","S_Coast","global",2008,"census","fit",2844.91913634895,2320.23547894434,3427.53111353334,NA,NA
"Afr_penguin","S_Coast","global",2009,"census","fit",2558.61314113608,2110.94122411594,3038.193632361,NA,NA
"Afr_penguin","S_Coast","global",2010,"census","fit",2832.79220131834,2299.87881261324,3344.14645374457,NA,NA
"Afr_penguin","S_Coast","global",2011,"census","fit",2878.89036671369,2376.40799456903,3368.51964942336,NA,NA
"Afr_penguin","S_Coast","global",2012,"census","fit",3863.1489798337,3196.08758351637,4586.45336052647,NA,NA
"Afr_penguin","S_Coast","global",2013,"census","fit",3911.54251021959,3174.57451297546,4631.02327207501,NA,NA
"Afr_penguin","S_Coast","global",2014,"census","fit",4216.34061805908,3460.00110025587,4981.72634905646,NA,NA
"Afr_penguin","S_Coast","global",2015,"census","fit",4651.61467733325,3820.24477807233,5529.88700492467,NA,NA
