"assessment","scenario","name","yr","Type","estimation","mu","lci","uci","lpp","upp"
"Afr_penguin","W_Coast","global",1979,"census","fit",18181.0995070906,14432.685259682,21976.6530269216,NA,NA
"Afr_penguin","W_Coast","global",1980,"census","fit",15993.6398927432,8290.22820470277,25240.8008042327,NA,NA
"Afr_penguin","W_Coast","global",1981,"census","fit",14079.8276781036,5880.27204882403,24762.3332131759,NA,NA
"Afr_penguin","W_Coast","global",1982,"census","fit",12412.4402050611,4377.64117838154,22855.3806844824,NA,NA
"Afr_penguin","W_Coast","global",1983,"census","fit",10991.3405772943,3553.42549741158,20517.6087865125,NA,NA
"Afr_penguin","W_Coast","global",1984,"census","fit",9708.31300554863,3311.02375353187,18104.5171679023,NA,NA
"Afr_penguin","W_Coast","global",1985,"census","fit",8674.57977377304,3249.20700293357,15392.7684353978,NA,NA
"Afr_penguin","W_Coast","global",1986,"census","fit",7841.54620612669,3582.6297778006,12763.0308289467,NA,NA
"Afr_penguin","W_Coast","global",1987,"census","fit",7193.43120861453,5202.3752689356,9643.06658175169,NA,NA
"Afr_penguin","W_Coast","global",1988,"census","fit",8746.10203108762,5098.87049594813,12869.8706676862,NA,NA
"Afr_penguin","W_Coast","global",1989,"census","fit",10486.4156999365,8082.83493542466,13183.9198922349,NA,NA
"Afr_penguin","W_Coast","global",1990,"census","fit",11149.1438656992,6632.1766083472,16336.0638026853,NA,NA
"Afr_penguin","W_Coast","global",1991,"census","fit",11918.836458863,9460.34668667313,14505.1090638228,NA,NA
"Afr_penguin","W_Coast","global",1992,"census","fit",11070.3249835079,8926.67097468466,13318.0043100353,NA,NA
"Afr_penguin","W_Coast","global",1993,"census","fit",10735.8638502414,8630.11418405132,12919.8793808626,NA,NA
"Afr_penguin","W_Coast","global",1994,"census","fit",13453.4760595553,10885.89432279,16141.4443863416,NA,NA
"Afr_penguin","W_Coast","global",1995,"census","fit",13442.8198476766,10787.5712156851,16150.5000830612,NA,NA
"Afr_penguin","W_Coast","global",1996,"census","fit",13761.8367703355,11253.6148902225,16708.3040065719,NA,NA
"Afr_penguin","W_Coast","global",1997,"census","fit",13742.1649164711,11175.3575854918,16483.5201886515,NA,NA
"Afr_penguin","W_Coast","global",1998,"census","fit",15952.2301496468,12823.9157708191,19157.9488202766,NA,NA
"Afr_penguin","W_Coast","global",1999,"census","fit",20478.2158241841,16316.8054963813,24862.3450776277,NA,NA
"Afr_penguin","W_Coast","global",2000,"census","fit",24130.7052674344,19320.9719318176,29028.9735637655,NA,NA
"Afr_penguin","W_Coast","global",2001,"census","fit",29225.3790879661,23664.7237146677,35541.3928577865,NA,NA
"Afr_penguin","W_Coast","global",2002,"census","fit",30813.17089601,24509.5694465177,37238.5343125919,NA,NA
"Afr_penguin","W_Coast","global",2003,"census","fit",28646.7848418222,23007.1759983769,34832.3703137803,NA,NA
"Afr_penguin","W_Coast","global",2004,"census","fit",32856.5032043905,26146.2438710304,39699.2125495851,NA,NA
"Afr_penguin","W_Coast","global",2005,"census","fit",29846.2175249147,23935.0986942926,36227.2826712352,NA,NA
"Afr_penguin","W_Coast","global",2006,"census","fit",20680.2236888453,16655.4672354488,24809.7369852373,NA,NA
"Afr_penguin","W_Coast","global",2007,"census","fit",17576.5242408778,14195.728365846,20953.2667615961,NA,NA
"Afr_penguin","W_Coast","global",2008,"census","fit",11404.7131136281,9368.75632867383,13441.9095521113,NA,NA
"Afr_penguin","W_Coast","global",2009,"census","fit",8633.63187695333,7031.99333908954,10268.6138578942,NA,NA
"Afr_penguin","W_Coast","global",2010,"census","fit",7869.06242424213,6400.40346787677,9357.76206015669,NA,NA
"Afr_penguin","W_Coast","global",2011,"census","fit",6298.39416550456,5144.66441123618,7483.99604464194,NA,NA
"Afr_penguin","W_Coast","global",2012,"census","fit",4955.09450804992,4087.95198571812,5862.16950103314,NA,NA
"Afr_penguin","W_Coast","global",2013,"census","fit",4369.28334011933,3542.3437107445,5170.62135840622,NA,NA
"Afr_penguin","W_Coast","global",2014,"census","fit",3494.4030617762,2872.78128127482,4149.44714967445,NA,NA
"Afr_penguin","W_Coast","global",2015,"census","fit",3624.89671111132,2934.83000353701,4293.89216660435,NA,NA
"Afr_penguin","W_Coast","global",2016,"census","fit",3498.32459506895,2858.2659084667,4147.42887988622,NA,NA
"Afr_penguin","W_Coast","global",2017,"census","fit",3581.55665707041,2912.67412963533,4242.40310566646,NA,NA
"Afr_penguin","W_Coast","global",2018,"census","fit",3474.93297996902,2400.52267893776,4717.93982924921,NA,NA
"Afr_penguin","W_Coast","global",2019,"census","fit",3344.4024194613,2716.35631886385,4015.7745407519,NA,NA
"Afr_penguin","W_Coast","global",2020,"census","fit",3196.0558804543,1943.06511559483,4486.42383968849,NA,NA
"Afr_penguin","W_Coast","global",2021,"census","fit",3057.38918559789,2462.46043168455,3676.57142224675,NA,NA
"Afr_penguin","W_Coast","global",2022,"census","fit",3531.65595185048,2867.18272940504,4271.0364117253,NA,NA
"Afr_penguin","W_Coast","global",2023,"census","fit",3169.04036886335,2559.34899165842,3909.77591654061,NA,NA
"Afr_penguin","W_Coast","global",2024,"census","prj",3156.98099576727,2461.41333673,3954.83645164319,NA,NA
"Afr_penguin","W_Coast","Lamberts.Bay",1979,"census","fit",50.2450017498988,36.8277976143744,65.9561408401229,30.4018384714139,74.0293239895282
"Afr_penguin","W_Coast","Lamberts.Bay",1980,"census","fit",45.3788601151861,16.8381263964163,86.5059132114435,14.7745324391408,90.4720645351541
"Afr_penguin","W_Coast","Lamberts.Bay",1981,"census","fit",41.0104997542284,10.6339649323744,91.9442111761495,10.679133284686,97.2722005968281
"Afr_penguin","W_Coast","Lamberts.Bay",1982,"census","fit",36.6623759468821,8.09124908543182,91.1583077602844,6.88500104274047,93.2497516945905
"Afr_penguin","W_Coast","Lamberts.Bay",1983,"census","fit",33.0355952273654,7.15641457952518,82.863760503719,6.94644365116461,86.2107843875055
"Afr_penguin","W_Coast","Lamberts.Bay",1984,"census","fit",29.692579651596,7.43148681613529,73.037893953368,6.56758387679277,75.3537494720765
"Afr_penguin","W_Coast","Lamberts.Bay",1985,"census","fit",26.4575738885057,6.45149988354934,60.5517298319456,6.28799913780354,64.1410155470568
"Afr_penguin","W_Coast","Lamberts.Bay",1986,"census","fit",23.9962725692852,8.80579835181722,46.8396338322195,8.12167779313383,49.4597136465996
"Afr_penguin","W_Coast","Lamberts.Bay",1987,"census","fit",21.6449163316128,15.9577498822798,28.4383933216121,13.3107857318709,31.8172648645654
"Afr_penguin","W_Coast","Lamberts.Bay",1988,"census","fit",23.1634583496375,16.9556814004983,30.1532129862483,14.3725478100677,33.9432086683778
"Afr_penguin","W_Coast","Lamberts.Bay",1989,"census","fit",25.8651598076784,12.3769852342643,42.9009618839797,12.1726451571555,47.2289650155694
"Afr_penguin","W_Coast","Lamberts.Bay",1990,"census","fit",28.7108187353923,21.5095974249636,37.3907191995079,18.2132679809613,42.9497870425976
"Afr_penguin","W_Coast","Lamberts.Bay",1991,"census","fit",24.5827329147055,18.2642711923339,31.8916915681912,14.9349160468014,35.7126973671181
"Afr_penguin","W_Coast","Lamberts.Bay",1992,"census","fit",19.0729762058503,14.1016805008387,24.5898300767426,11.7232925901588,27.7222775925511
"Afr_penguin","W_Coast","Lamberts.Bay",1993,"census","fit",21.0035821256033,15.9324573525304,27.3340531917121,12.9862740685781,30.9423218829902
"Afr_penguin","W_Coast","Lamberts.Bay",1994,"census","fit",17.4153171563881,12.9754322053746,22.7061595534859,10.7713309804406,25.4071128925766
"Afr_penguin","W_Coast","Lamberts.Bay",1995,"census","fit",24.0963303453788,17.8948972980488,31.4522430171795,14.8533114855398,35.0725040143734
"Afr_penguin","W_Coast","Lamberts.Bay",1996,"census","fit",20.7856455405795,15.371376616857,26.9687692762673,13.2259369642832,30.6233220453493
"Afr_penguin","W_Coast","Lamberts.Bay",1997,"census","fit",22.7842739614307,16.9574374173274,29.3452211818736,14.3211501376676,33.316533820833
"Afr_penguin","W_Coast","Lamberts.Bay",1998,"census","fit",23.8343883521855,17.8819101257513,31.1350179924887,15.0513727539649,34.7476505353497
"Afr_penguin","W_Coast","Lamberts.Bay",1999,"census","fit",12.0069294451076,8.93568975915423,15.5442876514113,7.37376002691962,17.3500329282681
"Afr_penguin","W_Coast","Lamberts.Bay",2000,"census","fit",10.1602252731853,7.54414095617904,13.035162372573,6.5800186965155,14.9495146041171
"Afr_penguin","W_Coast","Lamberts.Bay",2001,"census","fit",9.25719447678241,6.86733389401744,11.9151169670965,5.74965876021396,13.3790025190548
"Afr_penguin","W_Coast","Lamberts.Bay",2002,"census","fit",9.77721374355997,7.4074476601889,12.7262234729292,6.21562197262439,14.4415686475126
"Afr_penguin","W_Coast","Lamberts.Bay",2003,"census","fit",16.8149149041248,12.3981851431864,21.6934847128961,10.7302786171248,24.8063539855434
"Afr_penguin","W_Coast","Lamberts.Bay",2004,"census","fit",19.4393218122908,14.5487184951113,25.1486698425207,11.9942119970357,28.1885145719155
"Afr_penguin","W_Coast","Lamberts.Bay",2005,"census","fit",10.6198505322627,7.87705910210257,14.0308995015659,6.41521121753751,15.6690919669565
"Afr_penguin","W_Coast","Lamberts.Bay",2006,"census","fit",8.19065663770114,2.86857049035525,16.0829436056423,2.54186288071102,16.8882933795351
"Afr_penguin","W_Coast","Lamberts.Bay",2007,"census","fit",6.33575976164271,1.51280299756161,15.6655518438842,1.26048388789235,16.0488781951586
"Afr_penguin","W_Coast","Lamberts.Bay",2008,"census","fit",4.85657317551894,0.791764629712563,13.9674077850645,0.668783901049163,14.4024243413938
