"","median","lci","uci","Geweke.p","Heidelberger.p"
"r.Lamberts.Bay",-0.0713,-0.291,0.1471,0.976,0.638
"r.Malgas.Island",0.0295,-0.1875,0.2561,0.732,0.589
"r.Marcus.Island",-0.1789,-0.4128,0.0348,0.221,0.224
"r.Jutten.Island",-0.0083,-0.236,0.2041,0.96,0.806
"r.Vondeling.Island",0.0308,-0.185,0.2449,0.098,0.202
"r.Dassen.Island",0.0268,-0.1911,0.2525,0.091,0.483
"r.Robben.Island",0.0463,-0.167,0.2718,0.846,0.89
"r.Simonstown",0.1253,-0.0866,0.3497,0.022,0.008
"r.Seal.Island.False.Bay",0.0983,-0.1452,0.3424,0.724,0.381
"r.Stony.Point",0.2446,0.0096,0.4558,0.819,0.982
"r.Dyer.Island",0.088,-0.1259,0.3047,0.381,0.18
"r.Geyser.Island",-0.0045,-0.2248,0.2138,0.986,0.377
"r.De.Hoop",0.1639,-0.0543,0.3801,0.927,0.077
"r.Jahleel.Island",0.0533,-0.1634,0.28,0.119,0.513
"r.Brenton.Island",-0.1313,-0.3486,0.0944,0.062,0.29
"r.St.Croix.Island",-0.0063,-0.2258,0.2103,0.538,0.103
"r.Seal.Island.Algoa.Bay",0.0297,-0.1917,0.2365,0.161,0.33
"r.Stag.Island",-0.113,-0.3428,0.0947,0.435,0.451
"r.Bird.Island",0.083,-0.1344,0.2989,0.907,0.084
"r.Mercury",-0.3141,-0.5293,-0.096,0.846,0.893
"r.Ichaboe",-0.0907,-0.3022,0.1389,0.342,0.272
"r.Halifax",0.1394,-0.0722,0.3617,0.925,0.569
"r.Possession",0.1369,-0.0749,0.3592,0.812,0.272
"r.Pomona",0.0322,-0.1963,0.2395,0.723,0.925
"r.Plumpudding",0.1923,-0.0257,0.4086,0.946,0.153
"r.Sinclair",0.073,-0.1585,0.2773,0.996,0.268
"sigma.proc",0.5214,0.4835,0.555,0.098,0.189
