"assessment","scenario","name","yr","Type","estimation","mu","lci","uci","lpp","upp"
"Afr_penguin","E_Cape","global",1979,"census","fit",15230.7365113902,9657.50293148381,21023.4146283598,NA,NA
"Afr_penguin","E_Cape","global",1980,"census","fit",16032.2772953532,10040.4648921904,22567.7861331655,NA,NA
"Afr_penguin","E_Cape","global",1981,"census","fit",16895.8852768846,5728.86641022881,31710.7544326467,NA,NA
"Afr_penguin","E_Cape","global",1982,"census","fit",17997.9967183973,4479.75384972605,36502.1165392526,NA,NA
"Afr_penguin","E_Cape","global",1983,"census","fit",19140.8497279379,4778.1528879242,38581.0662701781,NA,NA
"Afr_penguin","E_Cape","global",1984,"census","fit",20259.5854312572,6882.44362354508,37193.8243358581,NA,NA
"Afr_penguin","E_Cape","global",1985,"census","fit",21315.7089181328,12352.0160478288,30779.9296865757,NA,NA
"Afr_penguin","E_Cape","global",1986,"census","fit",21583.6737408807,7069.07834214064,40875.3267365582,NA,NA
"Afr_penguin","E_Cape","global",1987,"census","fit",22150.7793966827,5025.00401454886,46204.1861813757,NA,NA
"Afr_penguin","E_Cape","global",1988,"census","fit",22587.2170947063,4940.76118172634,49402.2738585809,NA,NA
"Afr_penguin","E_Cape","global",1989,"census","fit",23228.4585235497,5470.07694166368,52124.3670920328,NA,NA
"Afr_penguin","E_Cape","global",1990,"census","fit",23818.5436271408,6580.27879465527,50787.3914864205,NA,NA
"Afr_penguin","E_Cape","global",1991,"census","fit",23566.2810730992,6565.43719381994,47488.641179848,NA,NA
"Afr_penguin","E_Cape","global",1992,"census","fit",23769.1108488171,8911.13040841384,43184.625948517,NA,NA
"Afr_penguin","E_Cape","global",1993,"census","fit",22793.3984192186,14307.0561309529,32266.8472566571,NA,NA
"Afr_penguin","E_Cape","global",1994,"census","fit",22305.9205545957,8559.39820145342,40852.082877748,NA,NA
"Afr_penguin","E_Cape","global",1995,"census","fit",21739.299761724,6559.75418521634,42626.0497704768,NA,NA
"Afr_penguin","E_Cape","global",1996,"census","fit",20073.7363812852,5577.63658580864,41373.4704178668,NA,NA
"Afr_penguin","E_Cape","global",1997,"census","fit",18546.9378531883,5562.50830174536,37495.0758359971,NA,NA
"Afr_penguin","E_Cape","global",1998,"census","fit",18370.3514509862,6682.61804289877,32724.6253003566,NA,NA
"Afr_penguin","E_Cape","global",1999,"census","fit",18657.1978318535,12612.383304577,25265.2000294444,NA,NA
