"","median","lci","uci","Geweke.p","Heidelberger.p"
"r.Lamberts.Bay",-0.0102,-0.1667,0.142,0.745,0.989
"r.Malgas.Island",0.0144,-0.1403,0.1681,0.427,0.731
"r.Marcus.Island",-0.0829,-0.2355,0.0725,0.18,0.822
"r.Jutten.Island",0.0425,-0.1106,0.1917,0.672,0.864
"r.Vondeling.Island",0.0859,-0.064,0.2423,0.506,0.289
"r.Dassen.Island",0.0902,-0.0678,0.2411,0.289,0.099
"r.Robben.Island",0.3378,0.1897,0.4939,0.708,0.692
"r.Simonstown",0.3348,0.1815,0.4877,0.123,0.496
"r.Seal.Island.False.Bay",0.1145,-0.0434,0.27,0.366,0.133
"r.Stony.Point",0.3425,0.1961,0.5006,0.482,0.424
"r.Dyer.Island",0.0531,-0.0995,0.2057,0.577,0.364
"r.Geyser.Island",-0.0515,-0.2013,0.1085,0.962,0.974
"r.De.Hoop",0.1977,0.0561,0.3654,0.119,0.312
"r.Jahleel.Island",0.0598,-0.0968,0.2182,0.97,0.421
"r.Brenton.Island",-0.0038,-0.1551,0.1525,0.954,0.099
"r.St.Croix.Island",0.0653,-0.0835,0.2259,0.603,0.134
"r.Seal.Island.Algoa.Bay",0.1385,-0.0118,0.2965,0.079,0.214
"r.Stag.Island",0.0067,-0.1509,0.1548,0.604,0.771
"r.Bird.Island",0.1679,0.0096,0.3187,0.979,0.323
"r.Mercury",-0.0911,-0.2409,0.0686,0.71,0.737
"r.Ichaboe",0.0031,-0.1434,0.16,0.614,0.863
"r.Halifax",0.1197,-0.0363,0.2671,0.779,0.206
"r.Possession",0.1149,-0.0374,0.2666,0.996,0.961
"r.Pomona",0.0112,-0.1408,0.1643,0.042,0.893
"r.Plumpudding",0.1463,-0.0038,0.298,0.72,0.759
"r.Sinclair",0.0912,-0.0582,0.2415,0.478,0.862
"sigma.proc",0.5125,0.4779,0.5539,0.692,0.957
