"assessment","scenario","name","yr","Type","estimation","mu","lci","uci","lpp","upp"
"Afr_penguin","Namibia","global",1979,"census","fit",8613.55750770382,6099.56843376339,11810.084059434,NA,NA
"Afr_penguin","Namibia","global",1980,"census","fit",8003.34710773577,3357.75761781758,13782.5657486876,NA,NA
"Afr_penguin","Namibia","global",1981,"census","fit",7444.44566639118,2688.33659687613,13760.9064223618,NA,NA
"Afr_penguin","Namibia","global",1982,"census","fit",6724.72869535152,2122.21031065883,12831.1927384616,NA,NA
"Afr_penguin","Namibia","global",1983,"census","fit",6138.62136077448,2096.60309730458,11631.6327581374,NA,NA
"Afr_penguin","Namibia","global",1984,"census","fit",5624.46707685298,2531.67305341551,9392.77083931976,NA,NA
"Afr_penguin","Namibia","global",1985,"census","fit",5191.31963828852,4327.92324484595,6129.55592644192,NA,NA
"Afr_penguin","Namibia","global",1986,"census","fit",2980.34422225172,2530.44252525364,3489.43414007166,NA,NA
"Afr_penguin","Namibia","global",1987,"census","fit",4853.53822489969,4092.4797505581,5668.4319970786,NA,NA
"Afr_penguin","Namibia","global",1988,"census","fit",6243.59764555727,3554.71929203621,9206.20461331965,NA,NA
"Afr_penguin","Namibia","global",1989,"census","fit",7429.92021513968,5821.81707960318,9209.1494852863,NA,NA
"Afr_penguin","Namibia","global",1990,"census","fit",7266.50069656614,5924.28132577924,8551.28962963035,NA,NA
"Afr_penguin","Namibia","global",1991,"census","fit",7324.78569785879,3778.39852325532,11185.6681507393,NA,NA
"Afr_penguin","Namibia","global",1992,"census","fit",7424.23189335928,6128.43505463041,8801.0113963982,NA,NA
"Afr_penguin","Namibia","global",1993,"census","fit",7713.91124714498,6354.77927846057,9061.4324033798,NA,NA
"Afr_penguin","Namibia","global",1994,"census","fit",6274.45222693235,5189.83636564248,7330.06886555405,NA,NA
"Afr_penguin","Namibia","global",1995,"census","fit",6739.46667210445,5566.41301867918,8007.57572141452,NA,NA
"Afr_penguin","Namibia","global",1996,"census","fit",6052.39091970238,4982.17731472062,7176.16287442972,NA,NA
"Afr_penguin","Namibia","global",1997,"census","fit",5649.32665172474,4655.41267599928,6741.18683538138,NA,NA
"Afr_penguin","Namibia","global",1998,"census","fit",5497.91810127951,4556.08327144803,6538.05737895765,NA,NA
"Afr_penguin","Namibia","global",1999,"census","fit",5780.13220029506,4773.05688761756,6900.3542623034,NA,NA
"Afr_penguin","Namibia","global",2000,"census","fit",5126.06463855888,4232.50301236279,6127.4214118108,NA,NA
"Afr_penguin","Namibia","global",2001,"census","fit",5867.6614429701,4852.35662120507,6953.4262016756,NA,NA
"Afr_penguin","Namibia","global",2002,"census","fit",6574.3573718019,5384.12338102973,7792.54692269507,NA,NA
"Afr_penguin","Namibia","global",2003,"census","fit",5851.0663087853,4865.76168260443,6968.40420472787,NA,NA
"Afr_penguin","Namibia","global",2004,"census","fit",4242.35731163983,3493.3064165151,4953.34274980347,NA,NA
"Afr_penguin","Namibia","global",2005,"census","fit",4646.92142851582,3820.44138011083,5455.39973187177,NA,NA
"Afr_penguin","Namibia","global",2006,"census","fit",3688.8356314909,2917.67550038652,4546.1960262232,NA,NA
"Afr_penguin","Namibia","global",2007,"census","fit",3697.88712563656,3050.12973539588,4391.08678668989,NA,NA
"Afr_penguin","Namibia","global",2008,"census","fit",4944.21680262355,4050.16002491253,5984.97172647132,NA,NA
"Afr_penguin","Namibia","global",2009,"census","fit",4858.90633630406,3984.88574253422,5737.10376254197,NA,NA
"Afr_penguin","Namibia","global",2010,"census","fit",5413.47598857827,4388.26263163104,6449.50936656557,NA,NA
"Afr_penguin","Namibia","global",2011,"census","fit",5305.66117988216,4306.59000960791,6380.79600340783,NA,NA
"Afr_penguin","Namibia","global",2012,"census","fit",5462.1171672048,4395.3715681674,6552.25560609264,NA,NA
"Afr_penguin","Namibia","global",2013,"census","fit",5467.53658719488,4511.16852950451,6569.08848875817,NA,NA
"Afr_penguin","Namibia","global",2014,"census","fit",5192.61450827572,4356.09287373436,6067.82039361046,NA,NA
"Afr_penguin","Namibia","global",2015,"census","fit",5659.79708253766,4738.82584984091,6611.26328588119,NA,NA
"Afr_penguin","Namibia","global",2016,"census","fit",5543.96003791974,4340.08620119802,6829.65971540914,NA,NA
"Afr_penguin","Namibia","global",2017,"census","fit",5595.99630920757,4695.54775942969,6592.05033537179,NA,NA
"Afr_penguin","Namibia","global",2018,"census","fit",4818.21073871859,2972.54153813851,7085.4398680534,NA,NA
"Afr_penguin","Namibia","global",2019,"census","fit",4219.94962365168,3459.20078865489,4991.57802289497,NA,NA
"Afr_penguin","Namibia","global",2020,"census","fit",3498.1056053753,2894.79445595747,4124.80800150847,NA,NA
"Afr_penguin","Namibia","global",2021,"census","fit",1753.10521803059,1437.33824131882,2084.78401227751,NA,NA
"Afr_penguin","Namibia","global",2022,"census","fit",1393.68765990281,1146.50740521673,1625.46986152169,NA,NA
"Afr_penguin","Namibia","global",2023,"census","fit",1200.4079419377,978.314851950199,1426.57025558928,NA,NA
"Afr_penguin","Namibia","global",2024,"census","prj",1136.83306835719,908.593233159728,1377.45552049245,NA,NA
"Afr_penguin","Namibia","Mercury",1979,"census","fit",2437.23530613789,685.818835197141,5431.52539462571,624.602875284717,5715.15096625614
"Afr_penguin","Namibia","Mercury",1980,"census","fit",2346.32342511382,335.247689021541,7322.16452962647,247.119636641525,7341.33418336472
"Afr_penguin","Namibia","Mercury",1981,"census","fit",2273.69875671584,249.17901823741,8269.62292339417,244.050031268251,8443.45372124584
"Afr_penguin","Namibia","Mercury",1982,"census","fit",2236.05565987626,221.957840965358,7945.07701889852,178.751205369816,8224.34701265546
"Afr_penguin","Namibia","Mercury",1983,"census","fit",2142.27102574587,222.916557331847,6993.75675468446,250.368819074442,7247.1506598859
"Afr_penguin","Namibia","Mercury",1984,"census","fit",2057.3423536737,468.965574801678,5427.34641938383,432.202057328111,5543.96888697962
"Afr_penguin","Namibia","Mercury",1985,"census","fit",2023.43326584549,1474.59278088485,2725.509755213,1216.62481459241,3023.11054159698
"Afr_penguin","Namibia","Mercury",1986,"census","fit",1214.29277819325,877.785559218297,1609.2258441281,741.259774913725,1828.39870293159
"Afr_penguin","Namibia","Mercury",1987,"census","fit",2125.56475705457,1499.83172650165,2764.60853092921,1268.4280313924,3167.16717867273
"Afr_penguin","Namibia","Mercury",1988,"census","fit",2680.41355306625,788.583273233252,5605.19852381959,816.331326341793,5870.55571347111
"Afr_penguin","Namibia","Mercury",1989,"census","fit",3363.38547359093,2397.48230692213,4437.19771046961,2033.775853042,5018.36865113542
"Afr_penguin","Namibia","Mercury",1990,"census","fit",3530.73566562356,2540.54669151381,4686.47181387772,2169.43859605547,5274.16454830382
"Afr_penguin","Namibia","Mercury",1991,"census","fit",3546.96709417784,1172.85732586038,7543.943369554,963.604740546967,7778.35066144184
"Afr_penguin","Namibia","Mercury",1992,"census","fit",3569.5919611525,2558.04389132791,4736.45571816725,2148.45875729008,5307.70772216202
"Afr_penguin","Namibia","Mercury",1993,"census","fit",3518.75286659555,2554.50381148213,4679.1428052523,2218.26265059301,5339.18460512802
"Afr_penguin","Namibia","Mercury",1994,"census","fit",2201.89827179123,1595.60589561442,2925.63931523324,1339.72346075431,3295.30077259759
"Afr_penguin","Namibia","Mercury",1995,"census","fit",2263.75678287747,1634.83592972612,3004.01698903852,1400.88540152077,3407.45546759854
"Afr_penguin","Namibia","Mercury",1996,"census","fit",2394.69513690882,1752.58353636122,3204.75284527068,1458.60788664924,3599.57598519493
"Afr_penguin","Namibia","Mercury",1997,"census","fit",2656.86451712993,1919.36350248155,3513.60761084238,1607.38679657216,3961.86708855003
"Afr_penguin","Namibia","Mercury",1998,"census","fit",2871.54111453686,2080.27629206972,3807.57907127537,1730.00151566675,4273.74669262393
"Afr_penguin","Namibia","Mercury",1999,"census","fit",3023.71359868526,2193.7711009517,4004.23591309403,1912.66399822521,4580.70538538698
"Afr_penguin","Namibia","Mercury",2000,"census","fit",2826.66771254618,2040.02850414093,3730.85603477941,1783.56450701564,4256.41832473456
"Afr_penguin","Namibia","Mercury",2001,"census","fit",2672.60262192431,1913.91686102178,3512.49569322291,1668.56875365483,4032.7817508646
"Afr_penguin","Namibia","Mercury",2002,"census","fit",3351.25297600159,2421.48685507925,4425.62194824,2010.60146654494,5025.65314468905
"Afr_penguin","Namibia","Mercury",2003,"census","fit",2763.42913167294,1995.1117728586,3652.90327888162,1670.19695903084,4056.90913334785
"Afr_penguin","Namibia","Mercury",2004,"census","fit",2099.28453010986,1539.05327592632,2791.54762606087,1236.03514472807,3139.50730372612
"Afr_penguin","Namibia","Mercury",2005,"census","fit",2390.22010120839,1732.88422858376,3188.88071015948,1446.57555389699,3551.91114197421
"Afr_penguin","Namibia","Mercury",2006,"census","fit",1864.52042358258,1339.48370216857,2469.49434329684,1112.43687377697,2754.33320139225
"Afr_penguin","Namibia","Mercury",2007,"census","fit",2071.07832636053,1475.27514573496,2698.34546631144,1251.92015919907,3076.27573343429
"Afr_penguin","Namibia","Mercury",2008,"census","fit",3062.49838807451,2219.53808129698,4043.45754557767,1922.05840626377,4594.33836401451
"Afr_penguin","Namibia","Mercury",2009,"census","fit",2623.8851560613,1920.86820318764,3483.79996876702,1590.9201569287,3882.06582017368
"Afr_penguin","Namibia","Mercury",2010,"census","fit",3116.92939368004,2212.31535650805,4079.06126235112,1859.6985876995,4630.85240485143
"Afr_penguin","Namibia","Mercury",2011,"census","fit",3113.066859396,2258.89080801479,4125.07629352598,1889.4204106121,4634.9837903344
"Afr_penguin","Namibia","Mercury",2012,"census","fit",3292.06286247294,2367.06365155638,4367.94829206567,2043.06235465866,4977.51602329307
"Afr_penguin","Namibia","Mercury",2013,"census","fit",3029.55366044098,2189.94201358007,4045.4859398,1850.2383743174,4571.99664493057
"Afr_penguin","Namibia","Mercury",2014,"census","fit",2495.99728636429,1784.39270716863,3273.58669463894,1529.90524668624,3762.09952324803
"Afr_penguin","Namibia","Mercury",2015,"census","fit",2639.15740048175,1891.43515942264,3474.31686830285,1544.38138044299,3919.40061312355
"Afr_penguin","Namibia","Mercury",2016,"census","fit",2701.78983401282,1982.97886627786,3604.21791647089,1615.35661036753,4020.66849886073
"Afr_penguin","Namibia","Mercury",2017,"census","fit",2634.19954345451,1892.06958964647,3513.8693217182,1584.62492918608,3924.4518928761
"Afr_penguin","Namibia","Mercury",2018,"census","fit",2449.73360922585,761.549118303832,5126.73201675295,736.037269675663,5371.36500731947
"Afr_penguin","Namibia","Mercury",2019,"census","fit",2264.4909791038,1619.58828608144,3001.51944947279,1346.70981046072,3366.29526398503
"Afr_penguin","Namibia","Mercury",2020,"census","fit",1635.20493719607,1190.93091591086,2178.69258183029,992.436500706704,2417.16602234405
"Afr_penguin","Namibia","Mercury",2021,"census","fit",271.815069086788,191.785722706792,359.1296368031,164.801056200652,406.662493982707
"Afr_penguin","Namibia","Mercury",2022,"census","fit",5.9700156996285,1.9363657330454,12.8004382854499,1.97224443417507,13.5269916424479
"Afr_penguin","Namibia","Mercury",2023,"census","fit",0.130308053440689,0.0920751402483424,0.177918704337308,0.0769174519866956,0.19784769325928
"Afr_penguin","Namibia","Mercury",2024,"census","prj",0.047535757325465,0.031273492375212,0.0660960908322343,0.0312001090089702,0.0681281070859333
"Afr_penguin","Namibia","Ichaboe",1979,"census","fit",4200.9166418166,3022.73523261024,5560.67250656769,2599.8551516565,6275.1694363264
"Afr_penguin","Namibia","Ichaboe",1980,"census","fit",3695.21666376979,798.052622792481,9483.90533892763,728.345728492344,9908.82650252488
"Afr_penguin","Namibia","Ichaboe",1981,"census","fit",3260.40490494272,409.143835714745,10268.3098810233,328.585479975891,10680.952808186
"Afr_penguin","Namibia","Ichaboe",1982,"census","fit",2841.27479659113,315.184723456003,9625.94189235113,275.909318635938,9882.77403090409
"Afr_penguin","Namibia","Ichaboe",1983,"census","fit",2503.16111372596,297.849641014022,8117.56030662664,186.031289137205,8146.96291509682
"Afr_penguin","Namibia","Ichaboe",1984,"census","fit",2196.29326453138,451.910581102149,5637.71220357108,431.267279057602,5867.2162416935
"Afr_penguin","Namibia","Ichaboe",1985,"census","fit",1959.78451009767,1409.86945786087,2640.65127750671,1181.15372429638,2906.1670700807
"Afr_penguin","Namibia","Ichaboe",1986,"census","fit",817.341955057203,577.931225352801,1067.79953607599,491.788368059629,1213.04149925067
"Afr_penguin","Namibia","Ichaboe",1987,"census","fit",1353.28413337218,979.560210905285,1811.68857010133,842.441059100846,2048.51622911299
"Afr_penguin","Namibia","Ichaboe",1988,"census","fit",1779.60043548453,548.501952212489,3731.41234997005,533.098823583454,3939.57021572936
"Afr_penguin","Namibia","Ichaboe",1989,"census","fit",2344.27761106811,1681.59240467247,3106.84940178207,1435.50466765581,3515.34374183258
"Afr_penguin","Namibia","Ichaboe",1990,"census","fit",1975.2396884773,1410.14149238521,2625.17477231126,1226.42488056377,2976.99202047471
"Afr_penguin","Namibia","Ichaboe",1991,"census","fit",2180.2729047009,631.814292423522,4560.8162768693,620.095028423014,4781.38838058468
"Afr_penguin","Namibia","Ichaboe",1992,"census","fit",2418.64795319334,1736.28159947392,3211.57544770495,1450.73136632092,3612.72588821129
"Afr_penguin","Namibia","Ichaboe",1993,"census","fit",2655.06469035226,1925.53782434353,3535.17118713403,1623.78946467061,4017.30269409639
"Afr_penguin","Namibia","Ichaboe",1994,"census","fit",2761.79952489906,1992.86936209412,3665.96359421563,1718.55921296234,4172.78167587969
"Afr_penguin","Namibia","Ichaboe",1995,"census","fit",3245.89603538315,2315.473219857,4300.36941422486,1974.13531138283,4834.04032656239
"Afr_penguin","Namibia","Ichaboe",1996,"census","fit",2620.34854072396,1875.02869251216,3458.22810372286,1580.85018803695,3885.94015748815
"Afr_penguin","Namibia","Ichaboe",1997,"census","fit",1922.84044643053,1372.1379631847,2541.0634050599,1156.67534975272,2881.73047058317
"Afr_penguin","Namibia","Ichaboe",1998,"census","fit",1597.48400625882,1128.69576394339,2084.30876137567,972.139001236604,2346.09234022029
"Afr_penguin","Namibia","Ichaboe",1999,"census","fit",1700.34964222816,1214.74060396972,2234.4268378422,1041.69574080335,2526.59992353051
"Afr_penguin","Namibia","Ichaboe",2000,"census","fit",1412.3380977981,1023.9796211239,1879.37300114463,852.407501280116,2089.33650938132
"Afr_penguin","Namibia","Ichaboe",2001,"census","fit",2182.55383056521,1583.7161477078,2883.10251368967,1324.69068382571,3238.65668506842
"Afr_penguin","Namibia","Ichaboe",2002,"census","fit",2181.13345766662,1592.4780836568,2874.70903926145,1339.28303084199,3254.75650417684
