"","median","lci","uci","Geweke.p","Heidelberger.p"
"r.Lamberts.Bay",-0.0344,-0.1754,0.0999,0.228,0.501
"r.Malgas.Island",-0.0133,-0.1541,0.1237,0.319,0.614
"r.Marcus.Island",-0.1061,-0.24,0.0346,0.949,0.287
"r.Jutten.Island",0.0193,-0.1189,0.1539,0.799,0.889
"r.Vondeling.Island",0.0608,-0.0759,0.1949,0.526,0.78
"r.Dassen.Island",0.0654,-0.0698,0.2058,0.381,0.354
"r.Robben.Island",0.3115,0.1763,0.45,0.996,0.077
"r.Simonstown",0.3107,0.1734,0.4493,0.854,0.935
"r.Seal.Island.False.Bay",0.0894,-0.0447,0.2466,0.381,0.354
"r.Stony.Point",0.3184,0.1846,0.4557,0.8,0.993
"r.Dyer.Island",0.0274,-0.1101,0.1676,0.653,0.854
"r.Geyser.Island",-0.0758,-0.2156,0.0609,0.707,0.793
"r.De.Hoop",0.1728,0.0374,0.3129,0.784,0.592
"r.Jahleel.Island",0.0352,-0.1061,0.1723,0.46,0.199
"r.Brenton.Island",-0.0281,-0.1636,0.114,0.482,0.9
"r.St.Croix.Island",0.0397,-0.0913,0.1808,0.262,0.801
"r.Seal.Island.Algoa.Bay",0.1141,-0.0229,0.2498,0.172,0.802
"r.Stag.Island",-0.0193,-0.1568,0.1183,0.135,0.16
"r.Bird.Island",0.1437,0.0076,0.2851,0.858,0.869
"sigma.proc",0.4595,0.4292,0.4976,0.415,0.613
