"assessment","scenario","name","yr","Type","estimation","mu","lci","uci","lpp","upp"
"Afr_penguin","S.Africa","global",1979,"census","fit",56452.2711502894,47879.4899215136,65694.1502818887,NA,NA
"Afr_penguin","S.Africa","global",1980,"census","fit",54359.3582906718,34256.6076816439,78692.4503659663,NA,NA
"Afr_penguin","S.Africa","global",1981,"census","fit",52371.8705587647,26366.3898006557,84782.0428142888,NA,NA
"Afr_penguin","S.Africa","global",1982,"census","fit",50920.4640650042,23551.6467000388,86760.9910523053,NA,NA
"Afr_penguin","S.Africa","global",1983,"census","fit",49974.4223925346,22812.1727077841,83921.3133212555,NA,NA
"Afr_penguin","S.Africa","global",1984,"census","fit",49343.4933324186,23650.1630189136,78519.1824165368,NA,NA
"Afr_penguin","S.Africa","global",1985,"census","fit",48990.6709810253,31917.0509765192,69385.9039728868,NA,NA
"Afr_penguin","S.Africa","global",1986,"census","fit",47940.9459329059,31205.0005365194,67873.0801389729,NA,NA
"Afr_penguin","S.Africa","global",1987,"census","fit",44450.3693089194,22356.4459695704,71033.4384872246,NA,NA
"Afr_penguin","S.Africa","global",1988,"census","fit",43976.1407444701,20534.1112944247,72181.1298762177,NA,NA
"Afr_penguin","S.Africa","global",1989,"census","fit",44395.0205136807,22990.5061789817,73824.9088880041,NA,NA
"Afr_penguin","S.Africa","global",1990,"census","fit",44064.6552707145,25332.669313396,73109.7715215024,NA,NA
"Afr_penguin","S.Africa","global",1991,"census","fit",42679.058739942,26081.6362671578,67277.5080019566,NA,NA
"Afr_penguin","S.Africa","global",1992,"census","fit",42374.7756949354,27668.1069691965,60691.0647844168,NA,NA
"Afr_penguin","S.Africa","global",1993,"census","fit",36806.1385002663,30362.711369907,43319.8660016477,NA,NA
"Afr_penguin","S.Africa","global",1994,"census","fit",40671.3038702801,27555.2836056757,58585.6578803445,NA,NA
"Afr_penguin","S.Africa","global",1995,"census","fit",39890.786210844,24651.8014384527,59985.940549862,NA,NA
"Afr_penguin","S.Africa","global",1996,"census","fit",37419.9010795241,22465.3721943082,57721.9703684572,NA,NA
"Afr_penguin","S.Africa","global",1997,"census","fit",35471.1581205046,22587.6191363368,54322.5318359618,NA,NA
"Afr_penguin","S.Africa","global",1998,"census","fit",36887.326721976,24961.0066807918,50935.6825501155,NA,NA
"Afr_penguin","S.Africa","global",1999,"census","fit",42454.7055104579,36109.0356605712,48476.2874040544,NA,NA
