"assessment","scenario","name","yr","Type","estimation","mu","lci","uci","lpp","upp"
"Afr_penguin","S_Coast","global",1979,"census","fit",23130.7168086463,16554.1540339927,30198.1351574849,NA,NA
"Afr_penguin","S_Coast","global",1980,"census","fit",22529.7142392064,5893.67572062385,45771.4900549233,NA,NA
"Afr_penguin","S_Coast","global",1981,"census","fit",21652.3721070897,3239.55218324799,49006.6327119567,NA,NA
"Afr_penguin","S_Coast","global",1982,"census","fit",21032.5645203112,2462.48410508097,50453.9743520776,NA,NA
"Afr_penguin","S_Coast","global",1983,"census","fit",20371.3420837795,2011.73350121241,48841.2366754418,NA,NA
"Afr_penguin","S_Coast","global",1984,"census","fit",19677.2199069216,3205.31637648749,45421.0636666741,NA,NA
"Afr_penguin","S_Coast","global",1985,"census","fit",19083.5809149819,5378.9708769641,38941.8975085153,NA,NA
"Afr_penguin","S_Coast","global",1986,"census","fit",18564.6192049544,13094.6739078217,24506.7468078216,NA,NA
"Afr_penguin","S_Coast","global",1987,"census","fit",15358.7853212006,5068.29919262548,29371.1934412609,NA,NA
"Afr_penguin","S_Coast","global",1988,"census","fit",12687.6277431299,3092.96506163838,25504.7016167166,NA,NA
"Afr_penguin","S_Coast","global",1989,"census","fit",10532.9981706444,3307.32980024178,19746.4004183728,NA,NA
"Afr_penguin","S_Coast","global",1990,"census","fit",8855.37630751746,6370.69144003568,11522.078425834,NA,NA
"Afr_penguin","S_Coast","global",1991,"census","fit",6945.66042546602,5095.73805286881,8812.50837273645,NA,NA
"Afr_penguin","S_Coast","global",1992,"census","fit",7358.91251080738,5382.12025582336,9466.73020877506,NA,NA
"Afr_penguin","S_Coast","global",1993,"census","fit",3294.99579380298,2489.94066836777,4149.76033118032,NA,NA
"Afr_penguin","S_Coast","global",1994,"census","fit",4955.05869570369,3699.20402793412,6321.34693738,NA,NA
"Afr_penguin","S_Coast","global",1995,"census","fit",4716.72441211863,3538.45849199919,6005.28119369109,NA,NA
"Afr_penguin","S_Coast","global",1996,"census","fit",3905.68022578464,2955.21140750438,4883.77183889123,NA,NA
"Afr_penguin","S_Coast","global",1997,"census","fit",3548.11184843745,2742.48611584209,4423.52927733635,NA,NA
"Afr_penguin","S_Coast","global",1998,"census","fit",2796.05267774021,2204.84066088909,3449.0421684467,NA,NA
"Afr_penguin","S_Coast","global",1999,"census","fit",3368.15331201597,2650.17658609629,4141.3677085025,NA,NA
"Afr_penguin","S_Coast","global",2000,"census","fit",3349.26994921182,2645.8411453801,4066.4509306151,NA,NA
"Afr_penguin","S_Coast","global",2001,"census","fit",3340.75138365191,2616.97585109787,4039.59801951769,NA,NA
"Afr_penguin","S_Coast","global",2002,"census","fit",3397.51344409921,2727.48639685747,4189.17867491704,NA,NA
"Afr_penguin","S_Coast","global",2003,"census","fit",3222.10854682261,2581.59355184285,3914.38810690875,NA,NA
"Afr_penguin","S_Coast","global",2004,"census","fit",3550.45990630461,2846.67515640132,4302.67983067421,NA,NA
"Afr_penguin","S_Coast","global",2005,"census","fit",3536.0503307854,2812.92770959931,4226.24717044827,NA,NA
"Afr_penguin","S_Coast","global",2006,"census","fit",3396.89712224387,2748.06130527948,4102.23817092028,NA,NA
"Afr_penguin","S_Coast","global",2007,"census","fit",2754.8106730935,2204.96504675971,3273.26378088418,NA,NA
"Afr_penguin","S_Coast","global",2008,"census","fit",2847.45566779294,2315.98700496095,3405.53290809333,NA,NA
"Afr_penguin","S_Coast","global",2009,"census","fit",2555.93968220073,2109.6252422978,3034.39714465649,NA,NA
