"assessment","scenario","name","yr","Type","estimation","mu","lci","uci","lpp","upp"
"Afr_penguin","W_Coast","global",1979,"census","fit",18148.2105443039,14416.9027767139,22122.3428410841,NA,NA
"Afr_penguin","W_Coast","global",1980,"census","fit",16048.4416721581,8543.35043539165,26144.5863515045,NA,NA
"Afr_penguin","W_Coast","global",1981,"census","fit",14156.2941228694,5480.85911255698,24872.3098144487,NA,NA
"Afr_penguin","W_Coast","global",1982,"census","fit",12441.7720406628,4328.59956268013,22770.3583269827,NA,NA
"Afr_penguin","W_Coast","global",1983,"census","fit",10989.1210820287,3553.76553607983,20704.5581878011,NA,NA
"Afr_penguin","W_Coast","global",1984,"census","fit",9745.81462104228,3242.33143954206,18284.3727078195,NA,NA
"Afr_penguin","W_Coast","global",1985,"census","fit",8688.34097434304,3196.38183270296,15574.7104183926,NA,NA
"Afr_penguin","W_Coast","global",1986,"census","fit",7803.29422760539,3698.72949327081,12940.8516292069,NA,NA
"Afr_penguin","W_Coast","global",1987,"census","fit",7162.18328918511,5133.17991593052,9440.21057087457,NA,NA
"Afr_penguin","W_Coast","global",1988,"census","fit",8749.75067181044,5172.73515742987,13025.9752611141,NA,NA
"Afr_penguin","W_Coast","global",1989,"census","fit",10474.5235460395,7917.03556565769,13075.2356475833,NA,NA
"Afr_penguin","W_Coast","global",1990,"census","fit",11132.3341473283,6547.60418917251,16197.9477422519,NA,NA
"Afr_penguin","W_Coast","global",1991,"census","fit",11892.6310266709,9453.7937512462,14425.0531087174,NA,NA
"Afr_penguin","W_Coast","global",1992,"census","fit",11087.6446153503,8988.09915508437,13351.3441076847,NA,NA
"Afr_penguin","W_Coast","global",1993,"census","fit",10769.8449931238,8586.50800846291,12985.6165449146,NA,NA
"Afr_penguin","W_Coast","global",1994,"census","fit",13487.137614602,10922.9663187119,16331.4549173801,NA,NA
"Afr_penguin","W_Coast","global",1995,"census","fit",13467.7877056082,10869.283149081,16338.6526134851,NA,NA
"Afr_penguin","W_Coast","global",1996,"census","fit",13754.6221183023,11095.7487462926,16563.7108289458,NA,NA
"Afr_penguin","W_Coast","global",1997,"census","fit",13739.2065871458,11191.8676833849,16548.9627934522,NA,NA
"Afr_penguin","W_Coast","global",1998,"census","fit",15920.8405968693,12703.205798913,19034.6781519487,NA,NA
"Afr_penguin","W_Coast","global",1999,"census","fit",20528.2810119517,16533.7250916885,24996.667496938,NA,NA
"Afr_penguin","W_Coast","global",2000,"census","fit",24106.6093847864,19356.1900246026,29131.8026507154,NA,NA
"Afr_penguin","W_Coast","global",2001,"census","fit",29318.0920682706,23503.4913187996,35561.1053467581,NA,NA
"Afr_penguin","W_Coast","global",2002,"census","fit",30800.2102049091,24386.5585237289,37062.3806001638,NA,NA
"Afr_penguin","W_Coast","global",2003,"census","fit",28553.1451971493,22546.7503092737,34522.9701287094,NA,NA
"Afr_penguin","W_Coast","global",2004,"census","fit",32918.1891214848,26440.9619514973,39898.3347660408,NA,NA
"Afr_penguin","W_Coast","global",2005,"census","fit",29885.8426779159,23789.7274491322,36073.902920433,NA,NA
"Afr_penguin","W_Coast","global",2006,"census","fit",20710.8426704064,16704.7686928183,24998.4029420315,NA,NA
"Afr_penguin","W_Coast","global",2007,"census","fit",17567.0886123983,14288.2341066832,21108.9753557024,NA,NA
"Afr_penguin","W_Coast","global",2008,"census","fit",11385.3157377314,9474.58889393339,13590.6477685352,NA,NA
"Afr_penguin","W_Coast","global",2009,"census","fit",8620.15674297048,7113.36414388068,10354.143287225,NA,NA
"Afr_penguin","W_Coast","global",2010,"census","fit",7874.44553946526,6444.04585306318,9419.92922031339,NA,NA
"Afr_penguin","W_Coast","global",2011,"census","fit",6293.92038033496,5185.91517309707,7539.91908911653,NA,NA
"Afr_penguin","W_Coast","global",2012,"census","fit",4955.47073471723,4052.35110489576,5830.33843084676,NA,NA
"Afr_penguin","W_Coast","global",2013,"census","fit",4372.91184536302,3575.93820496213,5169.92777930886,NA,NA
"Afr_penguin","W_Coast","global",2014,"census","fit",3495.68578613204,2893.6288569287,4174.19862643485,NA,NA
"Afr_penguin","W_Coast","global",2015,"census","fit",3614.26410227864,2950.15786391249,4265.46483795386,NA,NA
"Afr_penguin","W_Coast","global",2016,"census","fit",3495.86279804009,2881.74147377515,4167.02202660253,NA,NA
"Afr_penguin","W_Coast","global",2017,"census","fit",3588.55710796858,2930.29595210055,4252.72661314304,NA,NA
"Afr_penguin","W_Coast","global",2018,"census","fit",3476.3748891366,2403.09529804346,4729.31810268895,NA,NA
"Afr_penguin","W_Coast","global",2019,"census","fit",3346.81615081678,2685.94293155068,3980.0429693179,NA,NA
"Afr_penguin","W_Coast","global",2020,"census","fit",3190.68499270887,1929.70848360114,4467.03782220193,NA,NA
"Afr_penguin","W_Coast","global",2021,"census","fit",3058.933007708,2462.6286689597,3670.40299593085,NA,NA
"Afr_penguin","W_Coast","global",2022,"census","fit",3531.64856613868,2835.64644199176,4253.73503714355,NA,NA
"Afr_penguin","W_Coast","global",2023,"census","fit",3169.13005489916,2511.81349927505,3850.16729935842,NA,NA
"Afr_penguin","W_Coast","global",2024,"census","prj",3156.77355074682,2424.51375127255,3911.17586257837,NA,NA
"Afr_penguin","W_Coast","Lamberts.Bay",1979,"census","fit",50.3380582856934,36.9492431460192,66.6888413717537,30.2131861391006,74.0315890661639
"Afr_penguin","W_Coast","Lamberts.Bay",1980,"census","fit",45.2151513945619,17.3300139080054,86.955172430922,16.0381725191078,91.6523071366161
"Afr_penguin","W_Coast","Lamberts.Bay",1981,"census","fit",40.8551092171585,10.9281136534049,93.1797324951478,10.5418945989063,96.3027760825467
"Afr_penguin","W_Coast","Lamberts.Bay",1982,"census","fit",37.0726384476398,7.66095791428824,90.3842165626342,7.07594209622926,94.7324021169769
"Afr_penguin","W_Coast","Lamberts.Bay",1983,"census","fit",32.7454111755661,7.47320041012296,84.5709555035162,5.97628834655914,87.8939640336543
"Afr_penguin","W_Coast","Lamberts.Bay",1984,"census","fit",29.2802405891172,6.02708944258189,73.9019262036462,5.85881075115698,77.5361098883366
"Afr_penguin","W_Coast","Lamberts.Bay",1985,"census","fit",26.3998995543894,6.75816705868097,60.2664156169113,5.92114282501289,63.8190843474006
"Afr_penguin","W_Coast","Lamberts.Bay",1986,"census","fit",23.7567564704218,9.0105949817307,46.3434050111895,7.766063390509,48.7209664877164
"Afr_penguin","W_Coast","Lamberts.Bay",1987,"census","fit",21.5122163089245,15.6347015751765,28.188903289279,12.9100872262157,31.333721089893
